project_type,project_description,project_phase_name,project_status_name,dsf_number_s,failure
DIIT - RESOA,Fy17 reso a technology,Purch & Install,Complete,DSF: 0000845242,False
DOE - SKILLED TRADES,Cafeteria serving lines,Construction,In-Progress,DSF: 0000821613,False
DIIT - PROJECT CONNE,Classroom connectivity,Purch & Install,In-Progress,DSF: 0000777083,True
DIIT - PROJECT CONNE,Classroom connectivity,Purch & Install,In-Progress,DSF: 0000777101,True
SCA CIP,Collasped wall,Scope,Complete,DSF: 0000801028,False
SCA CIP,Collasped wall,Design,In-Progress,DSF: 0000801028,True
SCA CIP,Collasped wall,Construction,PNS,DSF: 0000801028,False
SCA CIP,Collasped wall,"CM, F&E",PNS,DSF: 0000801028,False
SCA IEH,Ieh po18-room 119 and 121,Construction,Complete,DSF: 0000048109,False
FAST TRACK PROJECTS,Emergency stabilization,Construction,In-Progress,DSF: 0000031832,False
SCA CIP,Flood elimination,Scope,Complete,DSF: 0000785880,False
SCA CIP,Flood elimination,Design,Complete,DSF: 0000785880,False
SCA CIP,Flood elimination,Construction,In-Progress,DSF: 0000785880,False
SCA CIP,Flood elimination,"CM, F&E",In-Progress,DSF: 0000785880,False
SCA IEH,"Ieh po18-rooms: 322,324,326,337,336,338,340,341",Construction,Complete,DSF: 0000047685,False
DOE - SKILLED TRADES,Ac initiative,Construction,In-Progress,DSF: 0000867115,False
SCA CIP,Roofs,Scope,Complete,DSF: 0000046511,False
SCA CIP,Roofs,Design,PNS,DSF: 0000046511,False
SCA CIP,Roofs,Construction,PNS,DSF: 0000046511,False
SCA CIP,Roofs,"CM, F&E",PNS,DSF: 0000046511,False
SCA CIP RESOA,Fy18 reso a playgrounds,Scope,PNS,DSF: 0000867354,True
SCA CIP RESOA,Fy18 reso a playgrounds,Design,PNS,DSF: 0000867354,False
SCA CIP RESOA,Fy18 reso a playgrounds,Construction,PNS,DSF: 0000867354,False
SCA CIP RESOA,Fy18 reso a playgrounds,"CM, F&E",PNS,DSF: 0000867354,False
SCA IEH,Ieh po18-cafeteria floor,Construction,Complete,DSF: 0000030955,False
SCA FURNITURE & EQUI,Fy17 reso a mobile science lab,F&E,PNS,DSF: 0000845238,False
DIIT - RESOA,Fy17 reso a technology,Purch & Install,Complete,DSF: 0000845239,False
DOE- RESOA,Fy17 reso a science lab upgrades,Construction,Complete,DSF: 0000844195,False
DOE - SKILLED TRADES,Ace- steam system upgrade,Construction,In-Progress,DSF: 0000799813,False
SCA CIP,Science lab upgrades,Scope,Complete,DSF: 0000821657,False
SCA CIP,Science lab upgrades,Design,Complete,DSF: 0000821657,False
SCA CIP,Science lab upgrades,Construction,Complete,DSF: 0000821657,False
SCA CIP,Science lab upgrades,"CM, F&E",Complete,DSF: 0000821657,False
DOE - SKILLED TRADES,Bathroom upgrade,Construction,In-Progress,DSF: 0000809324,False
SCA CIP RESOA,Fy18 reso a playgrounds,Scope,PNS,DSF: 0000866365,True
SCA CIP RESOA,Fy18 reso a playgrounds,Design,PNS,DSF: 0000866365,False
SCA CIP RESOA,Fy18 reso a playgrounds,Construction,PNS,DSF: 0000866365,False
SCA CIP RESOA,Fy18 reso a playgrounds,"CM, F&E",PNS,DSF: 0000866365,False
SCA IEH,Ieh po18-auditorium,Construction,Complete,DSF: 0000049445,False
SCA CIP,Eny playground upgrade,Scope,Complete,DSF: 0000865810,False
SCA CIP,Eny playground upgrade,Design,PNS,DSF: 0000865810,False
SCA CIP,Eny playground upgrade,Construction,PNS,DSF: 0000865810,False
SCA CIP,Eny playground upgrade,"CM, F&E",PNS,DSF: 0000865810,False
SCA CIP RESOA,Fy16 reso a auditorium upgrade,Scope,Complete,DSF: 0000822322,False
SCA CIP RESOA,Fy16 reso a auditorium upgrade,Design,Complete,DSF: 0000822322,False
SCA CIP RESOA,Fy16 reso a auditorium upgrade,Construction,Complete,DSF: 0000822322,False
SCA CIP RESOA,Fy16 reso a auditorium upgrade,"CM, F&E",Complete,DSF: 0000822322,False
SCA FURNITURE & EQUI,Fy17 reso a mobile science lab,F&E,Complete,DSF: 0000844400,False
DOE- RESOA,Fy17 reso a auditorium  upgrade,Construction,In-Progress,DSF: 0000844178,False
TRUST FOR PUBLIC LAN,Fy16 reso a playground redevelopment,Scope,Complete,DSF: 0000822305,False
TRUST FOR PUBLIC LAN,Fy16 reso a playground redevelopment,Design,Complete,DSF: 0000822305,False
TRUST FOR PUBLIC LAN,Fy16 reso a playground redevelopment,Construction,Complete,DSF: 0000822305,False
TRUST FOR PUBLIC LAN,Fy16 reso a playground redevelopment,F&E,Complete,DSF: 0000822305,False
SCA CIP RESOA,Fy17 reso a gymnasium upgrade,Scope,Complete,DSF: 0000844198,False
SCA CIP RESOA,Fy17 reso a gymnasium upgrade,Design,Complete,DSF: 0000844198,False
SCA CIP RESOA,Fy17 reso a gymnasium upgrade,Construction,PNS,DSF: 0000844198,False
SCA CIP RESOA,Fy17 reso a gymnasium upgrade,"CM, F&E",PNS,DSF: 0000844198,False
SCA CIP RESOA,Fy18 reso a playgrounds,Scope,PNS,DSF: 0000866363,False
SCA CIP RESOA,Fy18 reso a playgrounds,Design,PNS,DSF: 0000866363,False
SCA CIP RESOA,Fy18 reso a playgrounds,Construction,PNS,DSF: 0000866363,False
SCA CIP RESOA,Fy18 reso a playgrounds,"CM, F&E",PNS,DSF: 0000866363,False
SCA CIP RESOA,Fy18 reso a auditorium  upgrade,Scope,PNS,DSF: 0000867194,True
SCA CIP RESOA,Fy18 reso a auditorium  upgrade,Design,PNS,DSF: 0000867194,False
SCA CIP RESOA,Fy18 reso a auditorium  upgrade,Construction,PNS,DSF: 0000867194,False
SCA CIP RESOA,Fy18 reso a auditorium  upgrade,"CM, F&E",PNS,DSF: 0000867194,False
SCA IEH,Ieh po18-southwest crawl space,Construction,In-Progress,DSF: 0000046706,False
DIIT - PBX TELEPHONE,New/retrofit telephone/intercom sys,Purch & Install,In-Progress,DSF: 0000777547,True
SCA CIP RESOA,Fy17 reso a library upgrades,Scope,Complete,DSF: 0000844200,False
SCA CIP RESOA,Fy17 reso a library upgrades,Design,Complete,DSF: 0000844200,False
SCA CIP RESOA,Fy17 reso a library upgrades,Construction,In-Progress,DSF: 0000844200,False
SCA CIP RESOA,Fy17 reso a library upgrades,"CM, F&E",In-Progress,DSF: 0000844200,False
DOE - SKILLED TRADES,Bathroom upgrade,Construction,In-Progress,DSF: 0000866009,False
SCA CIP,Roofs,Scope,Complete,DSF: 0000764102,True
SCA CIP,Roofs,Design,Complete,DSF: 0000764102,False
SCA CIP,Roofs,Construction,PNS,DSF: 0000764102,False
SCA CIP,Roofs,"CM, F&E",PNS,DSF: 0000764102,False
SCA CIP RESOA,Fy18 reso a mobile science lab,Scope,PNS,DSF: 0000868055,True
SCA CIP RESOA,Fy18 reso a mobile science lab,Design,PNS,DSF: 0000868055,False
SCA CIP RESOA,Fy18 reso a mobile science lab,Construction,PNS,DSF: 0000868055,False
SCA CIP RESOA,Fy18 reso a mobile science lab,"CM, F&E",PNS,DSF: 0000868055,False
FAST TRACK PROJECTS,Ctf room conversion,Construction,Complete,DSF: 0000844165,False
DIIT - PROJECT CONNE,Classroom connectivity,Purch & Install,In-Progress,DSF: 0000777119,True
DIIT - RESOA,Fy17 reso a technology,Purch & Install,Complete,DSF: 0000845244,False
DOE- RESOA,Fy17 reso a science lab upgrades,Construction,Complete,DSF: 0000844201,False
DOE - SKILLED TRADES,Bathroom upgrade,Construction,Complete,DSF: 0000810070,False
DIIT - PROJECT CONNE,Classroom connectivity,Purch & Install,In-Progress,DSF: 0000777120,True
DOE - SKILLED TRADES,Bathroom upgrade,Construction,In-Progress,DSF: 0000866010,False
SCA FURNITURE & EQUI,Fy17 reso a mobile science lab,F&E,Complete,DSF: 0000844428,False
DOE- RESOA,Fy15 reso a science lab conversion,Construction,PNS,DSF: 0000800072,False
SCA CIP RESOA,Fy18 reso a water fountain upgrades,Scope,PNS,DSF: 0000867409,True
SCA CIP RESOA,Fy18 reso a water fountain upgrades,Design,PNS,DSF: 0000867409,False
SCA CIP RESOA,Fy18 reso a water fountain upgrades,Construction,PNS,DSF: 0000867409,False
SCA CIP RESOA,Fy18 reso a water fountain upgrades,"CM, F&E",PNS,DSF: 0000867409,False
DIIT - PROJECT CONNE,Classroom connectivity,Purch & Install,In-Progress,DSF: 0000777122,True
DIIT - RESOA,Fy17 reso a technology,Purch & Install,Complete,DSF: 0000844670,False
SCA LEASE SITE IMPRO,Phase ii work,Scope,In-Progress,DSF: 0000866751,True
SCA LEASE SITE IMPRO,Phase ii work,Design,PNS,DSF: 0000866751,False
SCA LEASE SITE IMPRO,Phase ii work,Construction,PNS,DSF: 0000866751,False
SCA LEASE SITE IMPRO,Phase ii work,"CM, F&E",PNS,DSF: 0000866751,False
SCA LEASE SITE IMPRO,Lease,Scope,Complete,DSF: 0000866751,False
SCA LEASE SITE IMPRO,Lease,Design,In-Progress,DSF: 0000866751,True
SCA LEASE SITE IMPRO,Lease,Construction,PNS,DSF: 0000866751,False
SCA LEASE SITE IMPRO,Lease,"CM, F&E",PNS,DSF: 0000866751,False
SCA CIP,Facade/paved areas concrete,Scope,Complete,"DSF: 0000854533, 0000888807",False
SCA CIP,Facade/paved areas concrete,Design,Complete,"DSF: 0000854533, 0000888807",False
SCA CIP,Facade/paved areas concrete,Construction,PNS,"DSF: 0000854533, 0000888807",False
SCA CIP,Facade/paved areas concrete,"CM, F&E",PNS,"DSF: 0000854533, 0000888807",False
FAST TRACK PROJECTS,Ctf room conversion,Construction,Complete,DSF: 0000844115,False
PRE-K,Lease,"CM, F&E",Complete,DSF: 0000822214,False
SCA CAPACITY,New school,Scope,In-Progress,DSF: 0000843828,True
SCA CAPACITY,New school,Design,PNS,DSF: 0000843828,False
SCA CAPACITY,New school,Construction,PNS,DSF: 0000843828,False
SCA CAPACITY,New school,"CM,Art,F&E",PNS,DSF: 0000843828,False
SCA LEASE SITE IMPRO,Phase ii work,Scope,Complete,DSF: 0000866093,False
SCA LEASE SITE IMPRO,Phase ii work,Design,In-Progress,DSF: 0000866093,True
SCA LEASE SITE IMPRO,Phase ii work,Construction,PNS,DSF: 0000866093,False
SCA LEASE SITE IMPRO,Phase ii work,"CM, F&E",PNS,DSF: 0000866093,False
SCA LEASE SITE IMPRO,Lease,Scope,Complete,DSF: 0000866093,True
SCA LEASE SITE IMPRO,Lease,Design,Complete,DSF: 0000866093,False
SCA LEASE SITE IMPRO,Lease,Construction,PNS,DSF: 0000866093,False
SCA LEASE SITE IMPRO,Lease,"CM, F&E",PNS,DSF: 0000866093,False
SCA CAPACITY,New school,Scope,In-Progress,DSF: 0000798183,True
SCA CAPACITY,New school,Design,PNS,DSF: 0000798183,False
SCA CAPACITY,New school,Construction,PNS,DSF: 0000798183,False
SCA CAPACITY,New school,"CM,Art,F&E",PNS,DSF: 0000798183,False
SCA FURNITURE & EQUI,Fy17 reso a mobile science lab,F&E,Complete,DSF: 0000844663,False
SCA FURNITURE & EQUI,Fy17 reso a mobile science lab,F&E,Complete,DSF: 0000844666,False
DIIT - RESOA,Fy17 reso a technology,Purch & Install,Complete,DSF: 0000845213,False
SCA CIP,Facade/windows,Scope,Complete,"DSF: 0000851535, 0000867176",False
SCA CIP,Facade/windows,Design,Complete,"DSF: 0000851535, 0000867176",False
SCA CIP,Facade/windows,Construction,PNS,"DSF: 0000851535, 0000867176",False
SCA CIP,Facade/windows,"CM, F&E",PNS,"DSF: 0000851535, 0000867176",False
SCA IEH,Ieh po18-1st fl garage area,Construction,In-Progress,DSF: 0000047485,False
SCA CIP RESOA,Fy18 reso a mobile science lab,Scope,PNS,DSF: 0000866658,True
SCA CIP RESOA,Fy18 reso a mobile science lab,Design,PNS,DSF: 0000866658,False
SCA CIP RESOA,Fy18 reso a mobile science lab,Construction,PNS,DSF: 0000866658,False
SCA CIP RESOA,Fy18 reso a mobile science lab,"CM, F&E",PNS,DSF: 0000866658,False
DOE- RESOA,Fy17 reso a fablab,Construction,In-Progress,DSF: 0000844372,False
DOE- RESOA,Fy17 reso a gymnasium upgrade,Construction,In-Progress,DSF: 0000844881,False
SCA CIP,Public address sys replacement/fa sys replacement,Scope,Complete,"DSF: 0000821881, 0000844164",False
SCA CIP,Public address sys replacement/fa sys replacement,Design,Complete,"DSF: 0000821881, 0000844164",False
SCA CIP,Public address sys replacement/fa sys replacement,Construction,PNS,"DSF: 0000821881, 0000844164",False
SCA CIP,Public address sys replacement/fa sys replacement,"CM, F&E",PNS,"DSF: 0000821881, 0000844164",False
DIIT - RESOA,Fy16 reso a technology,Purch & Install,Complete,DSF: 0000823423,True
DIIT - RESOA,Fy17 reso a technology,Purch & Install,Complete,DSF: 0000844319,False
SCA CIP,Gym & cafe floor/flood/floor/parapets/masonry/roof,Scope,Complete,"DSF: 0000761629, 0000775989, 0000784298, 0000784302, 0000807595, 0000807596, 0000807597",False
SCA CIP,Gym & cafe floor/flood/floor/parapets/masonry/roof,Design,Complete,"DSF: 0000761629, 0000775989, 0000784298, 0000784302, 0000807595, 0000807596, 0000807597",False
SCA CIP,Gym & cafe floor/flood/floor/parapets/masonry/roof,Construction,In-Progress,"DSF: 0000761629, 0000775989, 0000784298, 0000784302, 0000807595, 0000807596, 0000807597",False
SCA CIP,Gym & cafe floor/flood/floor/parapets/masonry/roof,"CM, F&E",In-Progress,"DSF: 0000761629, 0000775989, 0000784298, 0000784302, 0000807595, 0000807596, 0000807597",False
SCA CIP RESOA,Fy13 reso a gymnasium upgrade,Scope,Complete,DSF: 0000754744,False
SCA CIP RESOA,Fy13 reso a gymnasium upgrade,Design,Complete,DSF: 0000754744,True
SCA CIP RESOA,Fy13 reso a gymnasium upgrade,Construction,In-Progress,DSF: 0000754744,False
SCA CIP RESOA,Fy13 reso a gymnasium upgrade,"CM, F&E",In-Progress,DSF: 0000754744,False
SCA IEH,Ieh po18-rm 301,Construction,Complete,DSF: 0000048167,False
DIIT - RESOA,Fy17 reso a technology,Purch & Install,Complete,DSF: 0000845211,False
DIIT - RESOA,Fy16 technology upgrade,Purch & Install,In-Progress,DSF: 0000845626,True
DOE - LEAD PAINT,Lead paint abatement,Construction,In-Progress,DSF:,False
DOE- RESOA,Fy16 reso a electrical systems,Construction,In-Progress,DSF: 0000822815,False
SCA CIP RESOA,Fy18 reso a mobile science lab,Scope,PNS,DSF: 0000867434,True
SCA CIP RESOA,Fy18 reso a mobile science lab,Design,PNS,DSF: 0000867434,False
SCA CIP RESOA,Fy18 reso a mobile science lab,Construction,PNS,DSF: 0000867434,False
SCA CIP RESOA,Fy18 reso a mobile science lab,"CM, F&E",PNS,DSF: 0000867434,False
SCA CIP RESOA,Fy18 reso a mobile science lab,Scope,PNS,DSF: 0000866718,False
SCA CIP RESOA,Fy18 reso a mobile science lab,Design,PNS,DSF: 0000866718,False
SCA CIP RESOA,Fy18 reso a mobile science lab,Construction,PNS,DSF: 0000866718,False
SCA CIP RESOA,Fy18 reso a mobile science lab,"CM, F&E",PNS,DSF: 0000866718,False
DIIT - RESOA,Fy17 reso a technology,Purch & Install,Complete,DSF: 0000845295,False
DOE - LEAD PAINT,Lead paint abatement,Construction,In-Progress,DSF:,False
SCA CIP,Low voltage electrical systems,Scope,Complete,DSF: 0000801513,False
SCA CIP,Low voltage electrical systems,Design,Complete,DSF: 0000801513,False
SCA CIP,Low voltage electrical systems,Construction,In-Progress,DSF: 0000801513,False
SCA CIP,Low voltage electrical systems,"CM, F&E",In-Progress,DSF: 0000801513,False
SCA CIP RESOA,Fy18 reso a mobile science lab,Scope,PNS,DSF: 0000866675,True
SCA CIP RESOA,Fy18 reso a mobile science lab,Design,PNS,DSF: 0000866675,False
SCA CIP RESOA,Fy18 reso a mobile science lab,Construction,PNS,DSF: 0000866675,False
SCA CIP RESOA,Fy18 reso a mobile science lab,"CM, F&E",PNS,DSF: 0000866675,False
SCA IEH,Ieh po18-new wing corridors on 2nd flr & 1st flr,Construction,Complete,DSF: 0000046188,False
DOE - SKILLED TRADES,Vacuum pump system replacement,Construction,In-Progress,DSF: 0000846047,True
SCA CIP,Roofs/parapets/ext masonry/ext doors,Scope,Complete,"DSF: 0000755761, 0000755762, 0000755763, 0000798635",False
SCA CIP,Roofs/parapets/ext masonry/ext doors,Design,Complete,"DSF: 0000755761, 0000755762, 0000755763, 0000798635",False
SCA CIP,Roofs/parapets/ext masonry/ext doors,Construction,In-Progress,"DSF: 0000755761, 0000755762, 0000755763, 0000798635",False
SCA CIP,Roofs/parapets/ext masonry/ext doors,"CM, F&E",In-Progress,"DSF: 0000755761, 0000755762, 0000755763, 0000798635",False
SCA IEH,"Ieh po18-rms 304,307,309,317 & 318",Construction,Complete,DSF: 0000047345,False
SCA IEH,"Ieh po18-rms 304,307,309,317,318",Construction,Complete,DSF: 0000047465,False
SCA FURNITURE & EQUI,Fy17 reso a mobile science lab,F&E,Complete,DSF: 0000844331,False
FAST TRACK PROJECTS,Ctf room conversion,Construction,Complete,DSF: 0000844693,False
DIIT - PROJECT CONNE,Classroom connectivity,Purch & Install,In-Progress,DSF: 0000776662,True
DOE - LEAD PAINT,Lead paint abatement,Construction,Complete,DSF:,False
DOE - SKILLED TRADES,Electrical work for a/c initiative,Construction,In-Progress,DSF: 0000866763,False
SCA CIP,Full program accessibility/low voltage electrical,Scope,Complete,"DSF: 0000801089, 0000801599",False
SCA CIP,Full program accessibility/low voltage electrical,Design,Complete,"DSF: 0000801089, 0000801599",False
SCA CIP,Full program accessibility/low voltage electrical,Construction,In-Progress,"DSF: 0000801089, 0000801599",False
SCA CIP,Full program accessibility/low voltage electrical,"CM, F&E",In-Progress,"DSF: 0000801089, 0000801599",False
SCA CIP RESOA,Fy13 reso a playground redevelopment,Scope,Complete,DSF: 0000754751,False
SCA CIP RESOA,Fy13 reso a playground redevelopment,Design,Complete,DSF: 0000754751,False
SCA CIP RESOA,Fy13 reso a playground redevelopment,Construction,Complete,DSF: 0000754751,False
SCA CIP RESOA,Fy13 reso a playground redevelopment,"CM, F&E",Complete,DSF: 0000754751,False
SCA CIP RESOA,Fy18 reso a mobile science lab,Scope,PNS,DSF: 0000868044,True
SCA CIP RESOA,Fy18 reso a mobile science lab,Design,PNS,DSF: 0000868044,False
SCA CIP RESOA,Fy18 reso a mobile science lab,Construction,PNS,DSF: 0000868044,False
SCA CIP RESOA,Fy18 reso a mobile science lab,"CM, F&E",PNS,DSF: 0000868044,False
SCA CIP RESOA,Fy18 reso a mobile science lab,Scope,PNS,DSF: 0000868047,True
SCA CIP RESOA,Fy18 reso a mobile science lab,Design,PNS,DSF: 0000868047,False
SCA CIP RESOA,Fy18 reso a mobile science lab,Construction,PNS,DSF: 0000868047,False
SCA CIP RESOA,Fy18 reso a mobile science lab,"CM, F&E",PNS,DSF: 0000868047,False
SCA CIP RESOA,Fy18 reso a mobile science lab,Scope,PNS,DSF: 0000867435,True
SCA CIP RESOA,Fy18 reso a mobile science lab,Design,PNS,DSF: 0000867435,False
SCA CIP RESOA,Fy18 reso a mobile science lab,Construction,PNS,DSF: 0000867435,False
SCA CIP RESOA,Fy18 reso a mobile science lab,"CM, F&E",PNS,DSF: 0000867435,False
DIIT - PBX TELEPHONE,New/retrofit telephone/intercom sys,Purch & Install,In-Progress,DSF: 0000776300,True
SCA CIP,Full program accessibility,Scope,Complete,DSF: 0000822095,False
SCA CIP,Full program accessibility,Design,Complete,DSF: 0000822095,False
SCA CIP,Full program accessibility,Construction,In-Progress,DSF: 0000822095,False
SCA CIP,Full program accessibility,"CM, F&E",In-Progress,DSF: 0000822095,False
SCA CIP RESOA,Fy18 reso a cafeteria / multipurpose room upgrade,Scope,PNS,DSF: 0000867278,True
SCA CIP RESOA,Fy18 reso a cafeteria / multipurpose room upgrade,Design,PNS,DSF: 0000867278,False
SCA CIP RESOA,Fy18 reso a cafeteria / multipurpose room upgrade,Construction,PNS,DSF: 0000867278,False
SCA CIP RESOA,Fy18 reso a cafeteria / multipurpose room upgrade,"CM, F&E",PNS,DSF: 0000867278,False
SCA CIP RESOA,Fy18 reso a gymnasium upgrade,Scope,PNS,DSF: 0000867299,True
SCA CIP RESOA,Fy18 reso a gymnasium upgrade,Design,PNS,DSF: 0000867299,False
SCA CIP RESOA,Fy18 reso a gymnasium upgrade,Construction,PNS,DSF: 0000867299,False
SCA CIP RESOA,Fy18 reso a gymnasium upgrade,"CM, F&E",PNS,DSF: 0000867299,False
SCA CIP RESOA,Fy18 reso a gymnasium upgrade,Scope,PNS,DSF: 0000867310,True
SCA CIP RESOA,Fy18 reso a gymnasium upgrade,Design,PNS,DSF: 0000867310,False
SCA CIP RESOA,Fy18 reso a gymnasium upgrade,Construction,PNS,DSF: 0000867310,False
SCA CIP RESOA,Fy18 reso a gymnasium upgrade,"CM, F&E",PNS,DSF: 0000867310,False
SCA CIP RESOA,Fy16 reso a roofs,Scope,Complete,DSF: 0000822279,False
SCA CIP RESOA,Fy16 reso a roofs,Design,In-Progress,DSF: 0000822279,True
SCA CIP RESOA,Fy16 reso a roofs,Construction,PNS,DSF: 0000822279,False
SCA CIP RESOA,Fy16 reso a roofs,"CM, F&E",PNS,DSF: 0000822279,False
DOE - SKILLED TRADES,Univent condensate lines,Construction,In-Progress,DSF: 0000832581,False
DOE - LEAD PAINT,Lead paint abatement,Construction,In-Progress,DSF:,True
SCA CIP RESOA,Fy18 reso a library upgrades,Scope,PNS,DSF: 0000868039,True
SCA CIP RESOA,Fy18 reso a library upgrades,Design,PNS,DSF: 0000868039,False
SCA CIP RESOA,Fy18 reso a library upgrades,Construction,PNS,DSF: 0000868039,False
SCA CIP RESOA,Fy18 reso a library upgrades,"CM, F&E",PNS,DSF: 0000868039,False
DOE- RESOA,Fy17 reso a auditorium  upgrade,Construction,In-Progress,DSF: 0000844847,False
SCA CIP RESOA,Fy18 reso a mobile science lab,Scope,PNS,DSF: 0000868058,True
SCA CIP RESOA,Fy18 reso a mobile science lab,Design,PNS,DSF: 0000868058,False
SCA CIP RESOA,Fy18 reso a mobile science lab,Construction,PNS,DSF: 0000868058,False
SCA CIP RESOA,Fy18 reso a mobile science lab,"CM, F&E",PNS,DSF: 0000868058,False
DIIT - PROJECT CONNE,Classroom connectivity,Purch & Install,In-Progress,DSF: 0000777135,True
SCA CIP RESOA,Fy18 reso a playgrounds,Scope,PNS,DSF: 0000867356,True
SCA CIP RESOA,Fy18 reso a playgrounds,Design,PNS,DSF: 0000867356,False
SCA CIP RESOA,Fy18 reso a playgrounds,Construction,PNS,DSF: 0000867356,False
SCA CIP RESOA,Fy18 reso a playgrounds,"CM, F&E",PNS,DSF: 0000867356,False
DIIT - PROJECT CONNE,Classroom connectivity,Purch & Install,In-Progress,DSF: 0000777056,True
DIIT - RESOA,Fy17 reso a technology,Purch & Install,Complete,DSF: 0000844386,False
SCA CIP,Fire alarm system/smoke dampers,Scope,Complete,"DSF: 0000717814, 0000739062",False
SCA CIP,Fire alarm system/smoke dampers,Design,Complete,"DSF: 0000717814, 0000739062",True
SCA CIP,Fire alarm system/smoke dampers,Construction,Complete,"DSF: 0000717814, 0000739062",False
SCA CIP,Fire alarm system/smoke dampers,"CM, F&E",Complete,"DSF: 0000717814, 0000739062",False
SCA CIP,Parapets/roofs/windows/playground redevelopment,Scope,Complete,"DSF: 0000800299, 0000800300, 0000821734, 0000866168",False
SCA CIP,Parapets/roofs/windows/playground redevelopment,Design,Complete,"DSF: 0000800299, 0000800300, 0000821734, 0000866168",False
SCA CIP,Parapets/roofs/windows/playground redevelopment,Construction,In-Progress,"DSF: 0000800299, 0000800300, 0000821734, 0000866168",False
SCA CIP,Parapets/roofs/windows/playground redevelopment,"CM, F&E",In-Progress,"DSF: 0000800299, 0000800300, 0000821734, 0000866168",False
DIIT - PROJECT CONNE,Classroom connectivity,Purch & Install,In-Progress,DSF: 0000777057,True
DIIT - PROJECT CONNE,Classroom connectivity,Purch & Install,In-Progress,DSF: 0000777059,True
DIIT - RESOA,Fy17 reso a technology,Purch & Install,Complete,DSF: 0000845378,False
SCA CIP RESOA,Fy18 reso a safety systems,Scope,PNS,DSF: 0000867372,True
SCA CIP RESOA,Fy18 reso a safety systems,Design,PNS,DSF: 0000867372,False
SCA CIP RESOA,Fy18 reso a safety systems,Construction,PNS,DSF: 0000867372,False
SCA CIP RESOA,Fy18 reso a safety systems,"CM, F&E",PNS,DSF: 0000867372,False
SCA CIP RESOA,Fy16 reso a supplemental cooling,Scope,Complete,DSF: 0000822829,False
SCA CIP RESOA,Fy16 reso a supplemental cooling,Design,PNS,DSF: 0000822829,False
SCA CIP RESOA,Fy16 reso a supplemental cooling,Construction,PNS,DSF: 0000822829,False
SCA CIP RESOA,Fy16 reso a supplemental cooling,"CM, F&E",PNS,DSF: 0000822829,False
SCA IEH,Soil investigation and remediation,Construction,Complete,DSF: 0000843734,False
DIIT - PROJECT CONNE,Classroom connectivity,Purch & Install,In-Progress,DSF: 0000777072,True
DIIT - RESOA,Fy17 reso a technology,Purch & Install,Complete,DSF: 0000845249,False
DOE- RESOA,Fy17 reso a science lab upgrades,Construction,In-Progress,DSF: 0000844202,False
SCA CIP,Tcu removal / playground redevelopment,Scope,Complete,DSF: 0000821796,False
SCA CIP,Tcu removal / playground redevelopment,Design,Complete,DSF: 0000821796,False
SCA CIP,Tcu removal / playground redevelopment,Construction,In-Progress,DSF: 0000821796,False
SCA CIP,Tcu removal / playground redevelopment,"CM, F&E",In-Progress,DSF: 0000821796,False
SCA CIP,Fire alarm/certificate of occupancy,Scope,Complete,"DSF: 0000830576, 0000844690",False
SCA CIP,Fire alarm/certificate of occupancy,Design,In-Progress,"DSF: 0000830576, 0000844690",False
SCA CIP,Fire alarm/certificate of occupancy,Construction,PNS,"DSF: 0000830576, 0000844690",False
SCA CIP,Fire alarm/certificate of occupancy,"CM, F&E",PNS,"DSF: 0000830576, 0000844690",False
FAST TRACK PROJECTS,Ctf room conversion,Construction,Complete,DSF: 0000821954,False
DIIT - PROJECT CONNE,Classroom connectivity,Purch & Install,In-Progress,DSF: 0000777085,True
DOE - SKILLED TRADES,Water heater,Construction,In-Progress,DSF: 0000865720,False
SCA CIP,Flood elimination/exterior masonry,Scope,Complete,"DSF: 0000785181, 0000785184",False
SCA CIP,Flood elimination/exterior masonry,Design,Complete,"DSF: 0000785181, 0000785184",False
SCA CIP,Flood elimination/exterior masonry,Construction,In-Progress,"DSF: 0000785181, 0000785184",False
SCA CIP,Flood elimination/exterior masonry,"CM, F&E",In-Progress,"DSF: 0000785181, 0000785184",False
SCA CIP RESOA,Reso a- athletic field covering,Scope,PNS,DSF: 0000752922,False
SCA CIP RESOA,Reso a- athletic field covering,Design,PNS,DSF: 0000752922,False
SCA CIP RESOA,Reso a- athletic field covering,Construction,PNS,DSF: 0000752922,False
SCA CIP RESOA,Reso a- athletic field covering,"CM, F&E",PNS,DSF: 0000752922,False
SCA IEH,Ieh po18-room 131,Construction,In-Progress,DSF: 0000048571,False
DIIT - PROJECT CONNE,Classroom connectivity,Purch & Install,In-Progress,DSF: 0000777086,True
DOE- RESOA,Fy14 reso a auditorium upgrade,Construction,PNS,DSF: 0000798714,False
DOE- RESOA,Fy14 reso a locker replacment,Construction,In-Progress,DSF: 0000799957,False
DOE- RESOA,Fy15 reso a playground redevelopmen,Construction,Complete,DSF: 0000800356,False
DOE - SKILLED TRADES,Ada shelter compliance,Construction,Complete,DSF: 0000844707,False
DOE - SKILLED TRADES,Bathroom upgrade,Construction,In-Progress,DSF: 0000865999,True
SCA CIP RESOA,Fy18 reso a playgrounds,Scope,PNS,DSF: 0000867349,True
SCA CIP RESOA,Fy18 reso a playgrounds,Design,PNS,DSF: 0000867349,False
SCA CIP RESOA,Fy18 reso a playgrounds,Construction,PNS,DSF: 0000867349,False
