,project_geographic_district,project_building_identifier,project_school_name,project_type,project_description,project_phase_name,project_status_name,project_phase_actual_start_date,project_phase_planned_end_date,project_phase_actual_end_date,project_budget_amount,final_estimate_of_actual_costs_through_end_of_phase_amount,total_phase_actual_spending_amount,dsf_number_s,failure
557,11,X178,P.S. 178 - BRONX,SCA CIP,WINDOWS,Scope,In-Progress,12/18/2017,05/04/2018,,41557,41557.0,1478.0,DSF: 0000886262,True
558,11,X178,P.S. 178 - BRONX,SCA CIP,WINDOWS,Design,PNS,PNS,PNS,PNS,166227,166227.0,5911.0,DSF: 0000886262,False
559,11,X178,P.S. 178 - BRONX,SCA CIP,WINDOWS,Construction,PNS,PNS,PNS,PNS,3116753,3116753.0,0.0,DSF: 0000886262,False
560,11,X178,P.S. 178 - BRONX,SCA CIP,WINDOWS,"CM, F&E",PNS,PNS,PNS,PNS,193931,193931.0,0.0,DSF: 0000886262,False
561,11,X178,P.S. 178 - BRONX,SCA IEH,"IEH PO18-RMS 160,146,143,142,139,108,182,179,178",Construction,Complete,03/08/2017,IEH,08/05/2017,IEH,259729.0,9721.0,DSF: 0000045606,False
562,11,X178,P.S. 178 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,06/19/2017,07/19/2017,09/07/2017,80000,79396.0,79396.0,DSF: 0000844640,False
563,11,X181,I.S. 181 - BRONX,SCA CIP RESOA,FY15 RESO A PLAYGROUND REDEVELOPMENT,Scope,Complete,02/25/2015,05/26/2015,06/10/2015,0,22682.0,22682.0,DSF: 0000800367,False
564,11,X181,I.S. 181 - BRONX,SCA CIP RESOA,FY15 RESO A PLAYGROUND REDEVELOPMENT,Design,Complete,11/30/2016,04/18/2017,04/20/2017,77756,114664.0,111313.0,DSF: 0000800367,False
565,11,X181,I.S. 181 - BRONX,SCA CIP RESOA,FY15 RESO A PLAYGROUND REDEVELOPMENT,Construction,PNS,PNS,PNS,PNS,1140426,1140426.0,7753.0,DSF: 0000800367,False
566,11,X181,I.S. 181 - BRONX,SCA CIP RESOA,FY15 RESO A PLAYGROUND REDEVELOPMENT,"CM, F&E",PNS,PNS,PNS,PNS,77756,77756.0,26161.0,DSF: 0000800367,False
567,11,X189,CORNERSTONE ACADEMY FOR SOCIAL,DIIT - RESOA,FY16 RESO A TECHNOLOGY UPGRADES,Construction,In-Progress,11/17/2017,02/01/2018,,733000,733000.0,0.0,DSF: 0000823134,False
568,11,X194,P.S./I.S. 194 - BRONX,Trust For Public Lan,FY14 RESO A PLAYGROUND UPGRADE,Scope,Complete,01/01/2014,01/01/2014,01/01/2014,50000,50000.0,50000.0,DSF: 0000798651,True
569,11,X194,P.S./I.S. 194 - BRONX,Trust For Public Lan,FY14 RESO A PLAYGROUND UPGRADE,Design,Complete,06/15/2015,06/15/2015,07/01/2015,150000,150000.0,150000.0,DSF: 0000798651,True
570,11,X194,P.S./I.S. 194 - BRONX,Trust For Public Lan,FY14 RESO A PLAYGROUND UPGRADE,Construction,Complete,03/01/2017,11/01/2017,09/07/2017,410000,410000.0,397000.0,DSF: 0000798651,False
571,11,X194,P.S./I.S. 194 - BRONX,Trust For Public Lan,FY14 RESO A PLAYGROUND UPGRADE,F&E,Complete,01/01/2014,01/01/2015,06/30/2015,134000,134000.0,134000.0,DSF: 0000798651,False
572,11,X292,YOUNG VOICES ACADEMY OF THE BR,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,05/08/2017,01/15/2018,07/12/2017,100000,99244.0,99244.0,DSF: 0000845551,False
573,11,X311,THE STEAM BRIDGE SCHOOL - BRON,SCA IEH,"IEH PO18-RMS 204,205,206,207,208,209,210,211,212,2",Construction,In-Progress,10/05/2017,IEH,,IEH,154919.0,2852.0,DSF: 0000048890,False
574,11,X311,THE STEAM BRIDGE SCHOOL - BRON,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,05/08/2017,01/15/2018,07/24/2017,100000,99246.0,99246.0,DSF: 0000845560,False
575,11,X362,ACADEMY FOR SCHOLARSHIP AND EN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,In-Progress,10/17/2017,01/25/2018,,100000,99249.0,99249.0,DSF: 0000845177,True
576,11,X362,ACADEMY FOR SCHOLARSHIP AND EN,DOE - Skilled Trades,ADA SHELTER COMPLIANCE,Construction,In-Progress,03/13/2017,DOES,,DOES,50623.0,50623.0,DSF: 0000844729,False
577,11,X415,COLLEGIATE INST FOR MATH & SCI,SCA CIP,FIRE ALARM SYSTEM,Scope,Complete,12/10/2015,03/14/2016,03/24/2016,17636,27328.0,27328.0,DSF: 0000843699,False
578,11,X415,COLLEGIATE INST FOR MATH & SCI,SCA CIP,FIRE ALARM SYSTEM,Design,Complete,06/27/2016,12/30/2016,02/23/2017,70546,107048.0,107048.0,DSF: 0000843699,False
579,11,X415,COLLEGIATE INST FOR MATH & SCI,SCA CIP,FIRE ALARM SYSTEM,"CM, F&E",PNS,PNS,PNS,PNS,82303,82303.0,15082.0,DSF: 0000843699,False
580,11,X415,COLLEGIATE INST FOR MATH & SCI,SCA CIP,IP SURVEILLANCE CAMERAS,Scope,Complete,06/16/2016,10/17/2016,12/23/2016,9087,8574.0,8574.0,DSF: 0000843856,False
581,11,X415,COLLEGIATE INST FOR MATH & SCI,SCA CIP,IP SURVEILLANCE CAMERAS,Design,Complete,12/23/2016,06/23/2017,01/18/2017,33318,34357.0,34357.0,DSF: 0000843856,False
582,11,X415,COLLEGIATE INST FOR MATH & SCI,SCA CIP,IP SURVEILLANCE CAMERAS,Construction,In-Progress,06/27/2017,03/23/2018,,352867,323092.0,154897.0,DSF: 0000843856,False
583,11,X415,COLLEGIATE INST FOR MATH & SCI,SCA CIP,IP SURVEILLANCE CAMERAS,"CM, F&E",In-Progress,06/27/2017,03/23/2018,,281084,250081.0,23913.0,DSF: 0000843856,False
584,11,X415,PELHAM HIGH SCHOOL FOR LANGUAG,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,06/24/2013,12/31/2013,,DIIT,4309.0,0.0,DSF: 0000777196,True
585,11,X415,BRONXDALE HIGH SCHOOL - BRONX,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,06/24/2013,12/31/2013,,DIIT,4309.0,0.0,DSF: 0000777195,True
586,11,X415,ASTOR COLLEGIATE HS - BRONX,DOE - Skilled Trades,CAFETERIA SERVING LINES,Construction,In-Progress,01/15/2015,DOES,,DOES,450000.0,906.0,DSF: 0000821601,False
587,11,X425,HS OF COMPUTERS & TECHNOLOGY,SCA CIP,IP SURVEILLANCE CAMERAS,Scope,Complete,06/22/2016,10/21/2016,01/25/2017,8760,5196.0,5196.0,DSF: 0000843857,False
588,11,X425,HS OF COMPUTERS & TECHNOLOGY,SCA CIP,IP SURVEILLANCE CAMERAS,Design,Complete,01/25/2017,07/25/2017,04/20/2017,32120,20854.0,20854.0,DSF: 0000843857,False
589,11,X425,HS OF COMPUTERS & TECHNOLOGY,SCA CIP,IP SURVEILLANCE CAMERAS,Construction,In-Progress,06/26/2017,04/01/2018,,340180,308047.0,11897.0,DSF: 0000843857,False
590,11,X425,HS OF COMPUTERS & TECHNOLOGY,SCA CIP,IP SURVEILLANCE CAMERAS,"CM, F&E",In-Progress,06/26/2017,04/01/2018,,266446,224496.0,11481.0,DSF: 0000843857,False
591,11,X425,HS OF COMPUTERS & TECHNOLOGY,SCA CIP RESOA,RESO A GYMNASIUM UPGRADE,Scope,In-Progress,09/26/2017,01/31/2018,,0,15804.0,1057.0,DSF: 0000866163,True
592,11,X425,HS OF COMPUTERS & TECHNOLOGY,SCA CIP RESOA,RESO A GYMNASIUM UPGRADE,Design,PNS,PNS,PNS,PNS,66000,50196.0,4227.0,DSF: 0000866163,False
593,11,X425,HS OF COMPUTERS & TECHNOLOGY,SCA CIP RESOA,RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,968000,968000.0,0.0,DSF: 0000866163,False
594,11,X425,HS OF COMPUTERS & TECHNOLOGY,SCA CIP RESOA,RESO A GYMNASIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,66000,66000.0,322.0,DSF: 0000866163,False
595,11,X425,HS OF COMPUTERS & TECHNOLOGY,SCA IEH,IEH PO18-BOILER ROOM-WEST SIDE OF COAL BOILER NEAR,Construction,Complete,05/05/2017,IEH,08/27/2017,IEH,17508.0,3398.0,DSF: 0000046566,False
596,11,X455,HARRY S. TRUMAN HS - X,SCA CIP,EXT MASONRY/PARAPETS,Scope,Complete,09/29/2015,02/17/2016,05/11/2016,57169,260002.0,192405.0,"DSF: 0000842259, 0000844139",True
597,11,X455,HARRY S. TRUMAN HS - X,SCA CIP,EXT MASONRY/PARAPETS,Design,Complete,06/17/2016,11/18/2016,01/10/2017,227711,177669.0,152873.0,"DSF: 0000842259, 0000844139",False
598,11,X455,HARRY S. TRUMAN HS - X,SCA CIP,EXT MASONRY/PARAPETS,Construction,In-Progress,05/09/2017,08/01/2018,,4183224,3843039.0,1200524.0,"DSF: 0000842259, 0000844139",False
599,11,X455,HARRY S. TRUMAN HS - X,SCA CIP,EXT MASONRY/PARAPETS,"CM, F&E",In-Progress,05/09/2017,08/01/2018,,279294,184701.0,184217.0,"DSF: 0000842259, 0000844139",False
600,11,X455,HARRY S. TRUMAN HS - X,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,Complete,09/26/2017,01/30/2018,12/07/2017,17133,2930.0,2930.0,DSF: 0000867079,False
601,11,X455,HARRY S. TRUMAN HS - X,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Design,In-Progress,12/07/2017,06/05/2018,,62819,62819.0,8251.0,DSF: 0000867079,False
602,11,X455,HARRY S. TRUMAN HS - X,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Construction,PNS,PNS,PNS,PNS,665314,665314.0,0.0,DSF: 0000867079,False
603,11,X455,HARRY S. TRUMAN HS - X,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,"CM, F&E",PNS,PNS,PNS,PNS,232152,232152.0,514.0,DSF: 0000867079,False
604,11,X455,HARRY S. TRUMAN HS - X,SCA IEH,IEH PO18-ROOM 619,Construction,Complete,07/27/2017,IEH,07/30/2017,IEH,44440.0,2246.0,DSF: 0000047866,False
605,11,X455,HARRY S. TRUMAN HS - X,DOE - Skilled Trades,COOLING TOWER REPLACEMENT,Construction,In-Progress,03/02/2017,DOES,,DOES,910763.0,855750.0,DSF: 0000842273,False
606,11,X456,HARRY S. TRUMAN HS - X,SCA CIP RESOA,FY16 RESO A ATHLETIC FIELDS,Scope,Complete,08/10/2016,01/10/2017,12/01/2016,0,153629.0,153326.0,DSF: 0000822772,False
607,11,X456,HARRY S. TRUMAN HS - X,SCA CIP RESOA,FY16 RESO A ATHLETIC FIELDS,Design,PNS,PNS,PNS,PNS,18000,427737.0,4173.0,DSF: 0000822772,False
608,11,X456,HARRY S. TRUMAN HS - X,SCA CIP RESOA,FY16 RESO A ATHLETIC FIELDS,Construction,PNS,PNS,PNS,PNS,264000,8526695.0,7280.0,DSF: 0000822772,False
609,11,X456,HARRY S. TRUMAN HS - X,SCA CIP RESOA,FY16 RESO A ATHLETIC FIELDS,"CM, F&E",PNS,PNS,PNS,PNS,18000,581366.0,5266.0,DSF: 0000822772,False
610,11,X498,P.S. / I.S. 498 - BRONX,Fast Track Projects,FY17 RESO A ROOFTOP PLAYGROUND,Construction,PNS,FTK,FTK,FTK,FTK,100000.0,0.0,DSF: 0000845557,True
611,11,X722,X721 SPED - BRONX,SCA CIP,EXT MSNRY WATER PENETR/WINDOW/ROOF/ FLOOD/PARAPET,Scope,Complete,11/13/2012,04/02/2013,03/25/2013,162009,146686.0,146686.0,"DSF: 0000775579, 0000775993, 0000775994, 0000775995, 0000776000",False
612,11,X722,X721 SPED - BRONX,SCA CIP,EXT MSNRY WATER PENETR/WINDOW/ROOF/ FLOOD/PARAPET,Design,Complete,05/06/2013,10/04/2013,02/28/2014,633969,298837.0,203845.0,"DSF: 0000775579, 0000775993, 0000775994, 0000775995, 0000776000",False
613,11,X722,X721 SPED - BRONX,SCA CIP,EXT MSNRY WATER PENETR/WINDOW/ROOF/ FLOOD/PARAPET,Construction,PNS,PNS,PNS,PNS,7494062,9658125.0,39402.0,"DSF: 0000775579, 0000775993, 0000775994, 0000775995, 0000776000",False
614,3,M470,URBAN ASSEMBLY SCHOOL,SCA CIP,HVAC (BMS) WORK/BACKFLOW PREVENTER & WATER METER,Construction,PNS,PNS,PNS,PNS,1792982,1792982.0,30220.0,"DSF: 0000764420, 0000764431",False
615,3,M470,URBAN ASSEMBLY SCHOOL,SCA CIP,HVAC (BMS) WORK/BACKFLOW PREVENTER & WATER METER,"CM, F&E",PNS,PNS,PNS,PNS,212445,212445.0,28849.0,"DSF: 0000764420, 0000764431",False
616,3,M470,INNOVATION DIPLOMA PLUS,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,Complete,09/27/2017,01/31/2018,11/22/2017,6086,2495.0,2495.0,DSF: 0000867044,False
617,3,M470,INNOVATION DIPLOMA PLUS,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Design,In-Progress,11/22/2017,05/21/2018,,22314,22314.0,9980.0,DSF: 0000867044,False
618,3,M470,INNOVATION DIPLOMA PLUS,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Construction,PNS,PNS,PNS,PNS,236330,236330.0,0.0,DSF: 0000867044,False
619,3,M470,INNOVATION DIPLOMA PLUS,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,"CM, F&E",PNS,PNS,PNS,PNS,112209,112209.0,2057.0,DSF: 0000867044,False
620,3,M470,URBAN ASSEMBLY SCHOOL,SCA CIP RESOA,FY17 RESO A ROOM CONVERSIONS/PARTITIONING,Scope,Complete,06/23/2017,09/25/2017,10/10/2017,0,7615.0,1079.0,DSF: 0000844926,False
621,3,M470,URBAN ASSEMBLY SCHOOL,SCA CIP RESOA,FY17 RESO A ROOM CONVERSIONS/PARTITIONING,Design,PNS,PNS,PNS,PNS,15000,29216.0,4318.0,DSF: 0000844926,False
622,3,M470,URBAN ASSEMBLY SCHOOL,SCA CIP RESOA,FY17 RESO A ROOM CONVERSIONS/PARTITIONING,Construction,PNS,PNS,PNS,PNS,220000,540181.0,0.0,DSF: 0000844926,False
623,3,M470,URBAN ASSEMBLY SCHOOL,SCA CIP RESOA,FY17 RESO A ROOM CONVERSIONS/PARTITIONING,"CM, F&E",PNS,PNS,PNS,PNS,15000,36831.0,3927.0,DSF: 0000844926,False
624,3,M470,INNOVATION DIPLOMA PLUS,SCA CIP RESOA,FY17 RESO A PLAYGROUND REDEVELOPMENT,Scope,PNS,PNS,PNS,PNS,0,7377.0,0.0,DSF: 0000844925,True
625,3,M470,INNOVATION DIPLOMA PLUS,SCA CIP RESOA,FY17 RESO A PLAYGROUND REDEVELOPMENT,Design,PNS,PNS,PNS,PNS,17100,9723.0,0.0,DSF: 0000844925,False
626,3,M470,INNOVATION DIPLOMA PLUS,SCA CIP RESOA,FY17 RESO A PLAYGROUND REDEVELOPMENT,Construction,PNS,PNS,PNS,PNS,250800,250800.0,0.0,DSF: 0000844925,False
627,3,M470,INNOVATION DIPLOMA PLUS,SCA CIP RESOA,FY17 RESO A PLAYGROUND REDEVELOPMENT,"CM, F&E",PNS,PNS,PNS,PNS,17100,17100.0,0.0,DSF: 0000844925,False
628,3,M470,THE URBAN ASSEMBLY SCHOOL,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Scope,PNS,PNS,PNS,PNS,0,0.0,0.0,DSF: 0000866396,True
629,3,M470,THE URBAN ASSEMBLY SCHOOL,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Design,PNS,PNS,PNS,PNS,24000,24000.0,0.0,DSF: 0000866396,False
630,3,M470,THE URBAN ASSEMBLY SCHOOL,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Construction,PNS,PNS,PNS,PNS,352000,352000.0,0.0,DSF: 0000866396,False
631,3,M470,THE URBAN ASSEMBLY SCHOOL,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,"CM, F&E",PNS,PNS,PNS,PNS,24000,24000.0,0.0,DSF: 0000866396,False
632,3,M470,THE GLOBAL LEARNING COLLABORAT,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Scope,PNS,PNS,PNS,PNS,0,0.0,0.0,DSF: 0000866724,True
633,3,M470,THE GLOBAL LEARNING COLLABORAT,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Design,PNS,PNS,PNS,PNS,6000,6000.0,0.0,DSF: 0000866724,False
634,3,M470,THE GLOBAL LEARNING COLLABORAT,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Construction,PNS,PNS,PNS,PNS,88000,88000.0,0.0,DSF: 0000866724,False
635,3,M470,THE GLOBAL LEARNING COLLABORAT,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,"CM, F&E",PNS,PNS,PNS,PNS,6000,6000.0,0.0,DSF: 0000866724,False
636,3,M470,INNOVATION DIPLOMA PLUS,SCA CIP RESOA,FY18 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Scope,PNS,PNS,PNS,PNS,0,0.0,0.0,DSF: 0000867317,True
637,3,M470,INNOVATION DIPLOMA PLUS,SCA CIP RESOA,FY18 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Design,PNS,PNS,PNS,PNS,2100,2100.0,0.0,DSF: 0000867317,False
638,3,M470,INNOVATION DIPLOMA PLUS,SCA CIP RESOA,FY18 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Construction,PNS,PNS,PNS,PNS,30800,30800.0,0.0,DSF: 0000867317,False
639,3,M470,INNOVATION DIPLOMA PLUS,SCA CIP RESOA,FY18 RESO A IP SURVEILLANCE CAMERA INSTALLATION,"CM, F&E",PNS,PNS,PNS,PNS,2100,2100.0,0.0,DSF: 0000867317,False
640,3,M470,THE GLOBAL LEARNING COLLABORAT,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Scope,PNS,PNS,PNS,PNS,0,0.0,0.0,DSF: 0000868042,True
641,3,M470,THE GLOBAL LEARNING COLLABORAT,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Design,PNS,PNS,PNS,PNS,6000,6000.0,0.0,DSF: 0000868042,False
642,3,M470,THE GLOBAL LEARNING COLLABORAT,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Construction,PNS,PNS,PNS,PNS,88000,88000.0,0.0,DSF: 0000868042,False
643,3,M470,THE GLOBAL LEARNING COLLABORAT,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,"CM, F&E",PNS,PNS,PNS,PNS,6000,6000.0,0.0,DSF: 0000868042,False
644,3,M470,INNOVATION DIPLOMA PLUS,SCA IEH,IEH PO18-1ST FL STAIRCASE A,Construction,Complete,11/30/2017,IEH,12/10/2017,IEH,13269.0,1552.0,DSF: 0000049545,False
645,3,M470,THE GLOBAL LEARNING COLLABORAT,SCA Furniture & Equi,FY17 RESO A MOBILE SCIENCE LAB,F&E,Complete,01/19/2017,F&E,07/11/2017,100000,100000.0,100000.0,DSF: 0000844388,False
646,3,M485,FIORELLO LAGUARDIA HS - M,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Scope,PNS,PNS,PNS,PNS,0,0.0,0.0,DSF: 0000866391,True
647,3,M485,FIORELLO LAGUARDIA HS - M,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Design,PNS,PNS,PNS,PNS,6000,6000.0,0.0,DSF: 0000866391,False
648,3,M485,FIORELLO LAGUARDIA HS - M,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Construction,PNS,PNS,PNS,PNS,88000,88000.0,0.0,DSF: 0000866391,False
649,3,M485,FIORELLO LAGUARDIA HS - M,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,"CM, F&E",PNS,PNS,PNS,PNS,6000,6000.0,0.0,DSF: 0000866391,False
650,3,M485,FIORELLO LAGUARDIA HS - MANHAT,SCA CIP RESOA,FY15 RESO A TECHNICAL THEATER SHOP,Scope,Complete,05/14/2015,09/14/2015,12/23/2015,0,138310.0,119111.0,DSF: 0000800083,False
651,3,M485,FIORELLO LAGUARDIA HS - MANHAT,SCA CIP RESOA,FY15 RESO A TECHNICAL THEATER SHOP,Design,In-Progress,07/28/2016,03/28/2017,,298918,271273.0,187837.0,DSF: 0000800083,True
652,3,M485,FIORELLO LAGUARDIA HS - MANHAT,SCA CIP RESOA,FY15 RESO A TECHNICAL THEATER SHOP,Construction,PNS,PNS,PNS,PNS,4384128,4384128.0,10883.0,DSF: 0000800083,False
653,3,M485,FIORELLO LAGUARDIA HS - MANHAT,SCA CIP RESOA,FY15 RESO A TECHNICAL THEATER SHOP,"CM, F&E",PNS,PNS,PNS,PNS,298918,298918.0,37924.0,DSF: 0000800083,False
654,3,M485,FIORELLO LAGUARDIA HS - MANHAT,DOE - Skilled Trades,COOLING TOWER REPLACEMENT,Construction,In-Progress,08/10/2016,DOES,,DOES,1184701.0,1184701.0,DSF: 0000832506,False
655,3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP,ROOFS/WINDOWS,Scope,Complete,01/13/2017,05/31/2017,06/21/2017,151991,61715.0,60922.0,"DSF: 0000832537, 0000877090",False
656,3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP,ROOFS/WINDOWS,Design,PNS,PNS,PNS,PNS,605469,605469.0,88921.0,"DSF: 0000832537, 0000877090",False
657,3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP,ROOFS/WINDOWS,Construction,PNS,PNS,PNS,PNS,11128547,11128547.0,23419.0,"DSF: 0000832537, 0000877090",False
658,3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP,ROOFS/WINDOWS,"CM, F&E",PNS,PNS,PNS,PNS,741738,741738.0,10751.0,"DSF: 0000832537, 0000877090",False
659,3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,Complete,12/12/2017,04/13/2018,12/14/2017,4610,992.0,992.0,DSF: 0000867046,False
660,3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Design,In-Progress,12/14/2017,06/12/2018,,16904,16904.0,3967.0,DSF: 0000867046,False
661,3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Construction,PNS,PNS,PNS,PNS,179034,179034.0,0.0,DSF: 0000867046,False
662,3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,"CM, F&E",PNS,PNS,PNS,PNS,131423,131423.0,0.0,DSF: 0000867046,False
663,3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP RESOA,FY16 RESO A ATHLETIC FIELDS,Scope,Complete,12/21/2015,05/19/2016,02/09/2016,0,26682.0,26682.0,DSF: 0000822834,False
664,3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP RESOA,FY16 RESO A ATHLETIC FIELDS,Design,PNS,PNS,PNS,PNS,18000,106241.0,1954.0,DSF: 0000822834,False
665,3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP RESOA,FY16 RESO A ATHLETIC FIELDS,Construction,PNS,PNS,PNS,PNS,264000,1949530.0,0.0,DSF: 0000822834,False
666,3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP RESOA,FY16 RESO A ATHLETIC FIELDS,"CM, F&E",PNS,PNS,PNS,PNS,18000,132923.0,0.0,DSF: 0000822834,False
667,3,M490,MAXINE GREEN HIGH SCHOOL,SCA CIP RESOA,FY17 RESO A ROOM CONVERSIONS/PARTITIONING,Scope,Complete,01/19/2017,04/20/2017,03/20/2017,0,15378.0,15378.0,DSF: 0000844185,False
668,3,M490,MAXINE GREEN HIGH SCHOOL,SCA CIP RESOA,FY17 RESO A ROOM CONVERSIONS/PARTITIONING,Design,PNS,PNS,PNS,PNS,12000,84730.0,955.0,DSF: 0000844185,False
669,3,M490,MAXINE GREEN HIGH SCHOOL,SCA CIP RESOA,FY17 RESO A ROOM CONVERSIONS/PARTITIONING,Construction,PNS,PNS,PNS,PNS,176000,1468256.0,3709.0,DSF: 0000844185,False
670,3,M490,MAXINE GREEN HIGH SCHOOL,SCA CIP RESOA,FY17 RESO A ROOM CONVERSIONS/PARTITIONING,"CM, F&E",PNS,PNS,PNS,PNS,12000,100108.0,3911.0,DSF: 0000844185,False
671,3,M490,HUNTER SCIENCE HS - MANHATTAN,SCA CIP RESOA,FY17 RESO A SCIENCE LAB UPGRADES,Scope,Complete,01/18/2017,05/03/2017,03/06/2017,0,19655.0,19655.0,DSF: 0000844927,False
672,3,M490,HUNTER SCIENCE HS - MANHATTAN,SCA CIP RESOA,FY17 RESO A SCIENCE LAB UPGRADES,Design,In-Progress,10/11/2017,03/16/2018,,18600,4421.0,4421.0,DSF: 0000844927,True
673,3,M490,HUNTER SCIENCE HS - MANHATTAN,SCA CIP RESOA,FY17 RESO A SCIENCE LAB UPGRADES,Construction,PNS,PNS,PNS,PNS,272800,272800.0,6637.0,DSF: 0000844927,False
674,3,M490,HUNTER SCIENCE HS - MANHATTAN,SCA CIP RESOA,FY17 RESO A SCIENCE LAB UPGRADES,"CM, F&E",PNS,PNS,PNS,PNS,18600,18600.0,4952.0,DSF: 0000844927,False
675,3,M490,P.S. 859 - MANHATTAN,SCA CIP RESOA,FY18 RESO A LIGHTING FIXTURES,Scope,PNS,PNS,PNS,PNS,0,0.0,0.0,DSF: 0000866324,True
676,3,M490,P.S. 859 - MANHATTAN,SCA CIP RESOA,FY18 RESO A LIGHTING FIXTURES,Design,PNS,PNS,PNS,PNS,16800,16800.0,0.0,DSF: 0000866324,False
677,3,M490,P.S. 859 - MANHATTAN,SCA CIP RESOA,FY18 RESO A LIGHTING FIXTURES,Construction,PNS,PNS,PNS,PNS,246400,246400.0,0.0,DSF: 0000866324,False
678,3,M490,P.S. 859 - MANHATTAN,SCA CIP RESOA,FY18 RESO A LIGHTING FIXTURES,"CM, F&E",PNS,PNS,PNS,PNS,16800,16800.0,0.0,DSF: 0000866324,False
679,3,M490,MANHATTAN THEATER LAB - MANHAT,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,06/24/2013,12/31/2013,,DIIT,5654.0,0.0,DSF: 0000777127,True
680,3,M490,HS FOR ARTS & TECHNOLOGY - M,DOE - Skilled Trades,WATER BOOSTER PUMPS,Construction,In-Progress,03/04/2016,DOES,,DOES,62928.0,62928.0,DSF: 0000844150,False
681,3,M837,WEST END SECONDARY SCHOOL - M,SCA Lease Site Impro,LEASE (PHASE II),Scope,Complete,06/09/2014,08/28/2014,08/28/2014,342350,455743.0,455592.0,DSF: 0000800279,False
682,3,M837,WEST END SECONDARY SCHOOL - M,SCA Lease Site Impro,LEASE (PHASE II),Design,Complete,08/29/2014,12/15/2014,09/16/2016,1095520,1927382.0,1824311.0,DSF: 0000800279,True
683,3,M837,WEST END SECONDARY SCHOOL - M,SCA Lease Site Impro,LEASE (PHASE II),Construction,In-Progress,01/18/2017,02/06/2019,,15364668,14321206.0,6291132.0,DSF: 0000800279,False
