project_building_identifier,project_school_name,project_type,project_description,project_phase_name,project_phase_actual_start_date,project_phase_planned_end_date,project_budget_amount,final_estimate_of_actual_costs_through_end_of_phase_amount,total_phase_actual_spending_amount,dsf_number_s,failure,borough,over_budget_percentage,over_budget_amount,start_and_planned_end_diff
K132,P.S. 132 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,2013-06-24,2013-12-31,,415715.0,0.0,DSF: 0000776752,True,brooklyn,,,190.0
K147,P.S. 147 - BROOKLYN,SCA CIP,ROOFS,Scope,2017-12-18,2018-05-04,41135.0,41135.0,0.0,DSF: 0000870289,True,brooklyn,100.0,41135.0,137.0
K196,P.S. 196 - BROOKLYN,SCA IEH,"IEH PO18-RMS 231,432,429,403,405,531",Construction,2017-05-08,,,1948.0,448.0,DSF: 0000046596,False,brooklyn,,,
K196,P.S. 196 - BROOKLYN,DOE - Skilled Trades,VACUUM PUMP SYSTEM REPLACEMENT/ STEAM TRAPS,Construction,2017-07-01,,,75622.0,0.0,DSF: 0000848383,True,brooklyn,,,
K250,P.S. 250 - BROOKLYN,SCA IEH,SOIL INVESTIGATION AND REMEDIATION,Construction,2016-02-18,,,143350.0,84423.0,DSF: 0000843732,False,brooklyn,,,
K257,P.S. 257 - BROOKLYN,SCA IEH,"IEH PO18-CLASSROOMS 309, 310, 314, & 316",Construction,2017-05-01,,,10442.0,142.0,DSF: 0000046489,False,brooklyn,,,
K297,P.S. 297 - BROOKLYN,SCA IEH,"IEH PO18-RMS 101,108,118,120 (NURSE'S SUITE)",Construction,2017-07-06,,,88153.0,1186.0,DSF: 0000047489,False,brooklyn,,,
K297,THE ETHICAL COMMUNITY CHARTER,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,2016-02-26,,,146142.0,146142.0,DSF: 0000805806,False,brooklyn,,,
K297,P.S. 297 - BROOKLYN,DOE - Skilled Trades,ELECTRICAL WORK FOR A/C INITIATIVE,Construction,2017-09-14,,,11900.0,11900.0,DSF: 0000866830,False,brooklyn,,,
K319,P.S. 319 - BROOKLYN,DOE- RESOA,FY17 RESO A PLAYGROUND REDEVELOPMENT,Construction,2017-08-08,,150000.0,137350.0,137350.0,DSF: 0000844901,False,brooklyn,8.0,12650.0,
K380,P.S. 380 - BROOKLYN,DOE- RESOA,FY14 RESO A RENOVATE OUTDOOR DIGITA,Construction,2014-08-25,,50000.0,50000.0,0.0,DSF: 0000798859,False,brooklyn,100.0,50000.0,
K450,PROGRESS HS - K,SCA CIP,ROOFS/WINDOWS,Scope,2017-12-18,2018-05-04,343830.0,343830.0,0.0,"DSF: 0000873584, 0000873585",True,brooklyn,100.0,343830.0,137.0
K450,PROGRESS HS - K,DOE - Skilled Trades,ACE- STEAM SYSTEM UPGRADE,Construction,2017-04-28,,,285852.0,285852.0,DSF: 0000799806,False,brooklyn,,,
K610,AUTOMOTIVE TRADES VOC HS - K,SCA IEH,"IEH PO18-RM B21,B17,106,107,B15",Construction,2017-05-31,,,63312.0,3042.0,DSF: 0000047045,False,brooklyn,,,
K650,WIILIAMSBURG PREP- BROOKLYN,SCA IEH,IEH PO18-3RD FL CORRIDOR,Construction,2017-08-07,,,61273.0,872.0,DSF: 0000047987,False,brooklyn,,,
K650,WIILIAMSBURG PREP- BROOKLYN,SCA IEH,IEH PO18-2ND FL CORRIODR OLD BUILDING,Construction,2017-08-14,,,84262.0,9286.0,DSF: 0000048147,False,brooklyn,,,
K650,WILLIAMSBURG PREPARATORY SCHOO,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,2017-10-03,2018-01-25,70000.0,69197.0,69197.0,DSF: 0000845237,True,brooklyn,1.0,803.0,114.0
K650,WILLIAMSBURG HS FOR ARCH & DES,DOE- RESOA,FY17 RESO A ELECTRICAL SYSTEMS,Construction,2017-08-04,,164460.0,164460.0,164460.0,DSF: 0000844177,False,brooklyn,0.0,0.0,
K778,EL PUENTE ACADEMY - BROOKLYN,SCA CIP,MASONRY/WINDOWS/PARAPETS/ROOFS,Construction,2017-07-10,2019-07-09,4792394.0,4333351.0,652686.0,"DSF: 0000797939, 0000797940, 0000797941, 0000822118",False,brooklyn,86.0,4139708.0,729.0
K778,EL PUENTE ACADEMY - BROOKLYN,SCA CIP,MASONRY/WINDOWS/PARAPETS/ROOFS,"CM, F&E",2017-07-10,2019-07-09,560703.0,104136.0,104128.0,"DSF: 0000797939, 0000797940, 0000797941, 0000822118",False,brooklyn,81.0,456575.0,729.0
K010,P.S. 10 - BROOKLYN,SCA IEH,IEH PO18-NORTH EAST CORNER OF FAN ROOM IN BASEMENT,Construction,2017-12-27,,,0.0,0.0,DSF: 0000049945,True,brooklyn,,,
K010,"MAGNET SCHOOL OF MATH, SCIENCE",DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,2017-11-17,2018-02-01,200000.0,198496.0,198496.0,DSF: 0000844294,True,brooklyn,1.0,1504.0,76.0
K015,P.S. 15 - BROOKLYN,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,2016-08-29,,,110820.0,110820.0,DSF: 0000801409,False,brooklyn,,,
X450,BRONX COMMUNITY HIGH SCHOOL,SCA CIP,IP SURVEILLANCE CAMERAS,Construction,2017-07-24,2018-06-08,374980.0,329645.0,14419.0,DSF: 0000843860,False,bronx,96.0,360561.0,319.0
X450,BRONX COMMUNITY HIGH SCHOOL,SCA CIP,IP SURVEILLANCE CAMERAS,"CM, F&E",2017-07-24,2018-06-08,291544.0,237187.0,35592.0,DSF: 0000843860,False,bronx,88.0,255952.0,319.0
X450,MILLENIUM ART ACADEMY - BRONX,SCA CIP,TCU REMOVAL/PLAYGROUND REDEVELOPMENT,Design,2017-09-13,2018-03-13,95951.0,95951.0,52069.0,DSF: 0000866285,True,bronx,46.0,43882.0,181.0
X450,BRONX COMPASS HIGH SCHOOL - BR,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,2013-06-24,2013-12-31,,3308.0,0.0,DSF: 0000777207,True,bronx,,,190.0
X650,SCHOOL FOR TOURISM AND HOSPITA,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,2013-06-24,2013-12-31,,24249.0,0.0,DSF: 0000777206,True,bronx,,,190.0
X972,BRONX ARENA HIGH SCHOOL - BRON,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,2013-06-24,2013-12-31,,10664.0,0.0,DSF: 0000777215,False,bronx,,,190.0
X002,BRONX CNTR FOR SCIENCE & MATH,SCA CIP,PLANYC BOILER CONVERSION/PLANYC CLIMATE CTRL,Construction,2017-10-25,2019-04-17,6465375.0,5941197.0,18564.0,"DSF: 0000798315, 0000798318",False,bronx,100.0,6446811.0,539.0
X002,BRONX CNTR FOR SCIENCE & MATH,SCA CIP,PLANYC BOILER CONVERSION/PLANYC CLIMATE CTRL,"CM, F&E",2017-10-25,2019-04-17,402291.0,32076.0,32076.0,"DSF: 0000798315, 0000798318",False,bronx,92.0,370215.0,539.0
X002,BRONX CNTR FOR SCIENCE & MATH,SCA CIP RESOA,FY17 RESO A AUDITORIUM  UPGRADE,Design,2017-12-01,2018-05-04,30000.0,17456.0,6465.0,DSF: 0000844234,True,bronx,78.0,23535.0,154.0
X004,P.S. 4 - BRONX,DOE - Skilled Trades,COMMUNITY SCHOOL BASED MENTAL HEALTH CLINIC,Construction,2016-12-14,,,87183.0,87183.0,DSF: 0000843981,False,bronx,,,
X011,P.S. 11 - BRONX,SCA CIP,DEFECTIVE RETAINING WALL & PAVEMENTS,Construction,2017-10-16,2018-12-09,2812500.0,2536909.0,10979.0,DSF: 0000838987,False,bronx,100.0,2801521.0,419.0
X011,P.S. 11 - BRONX,SCA CIP,DEFECTIVE RETAINING WALL & PAVEMENTS,"CM, F&E",2017-10-16,2018-12-09,175000.0,15296.0,15296.0,DSF: 0000838987,False,bronx,91.0,159704.0,419.0
X011,P.S. 11 - BRONX,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,2017-09-07,,,170000.0,1948.0,DSF: 0000866058,False,bronx,,,
X022,I.S. 22 - BRONX,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Design,2017-09-21,2018-03-21,25993.0,25993.0,11184.0,DSF: 0000867070,True,bronx,56.99999999999999,14809.0,181.0
X022,I.S. 22 - BRONX,SCA IEH,"IEH PO18-BASEMENT BOILER / FAN ROOM, NEAR AUDITORI",Construction,2017-10-18,,,1698.0,1198.0,DSF: 0000049010,False,bronx,,,
X042,P.S. 42 - BRONX,SCA CIP,FLOOD ELIMINATION/PARAPETS/EXT. MASONRY,Scope,2017-12-18,2018-05-04,77838.0,77838.0,0.0,"DSF: 0000884002, 0000884005, 0000884006",True,bronx,100.0,77838.0,137.0
X042,P.S. 42 - BRONX,SCA IEH,"IEH PO18-RMS 412,412A,410,412A,FOYER,4TH FL CORRID",Construction,2017-08-10,,,1070.0,570.0,DSF: 0000048072,False,bronx,,,
X053,P.S. 53 - BRONX,SCA CIP,EXTERIOR MASONRY,Scope,2017-10-26,2018-03-16,30000.0,67819.0,6268.0,DSF: 0000048369,True,bronx,79.0,23732.0,141.0
X055,P.S. 55 - BRONX,SCA CIP,MASONRY/WINDOWS/ROOFS/PARAPETS,Construction,2017-06-12,2019-06-11,17799179.0,16186646.0,873721.0,"DSF: 0000839643, 0000839644, 0000839645, 0000839646",False,bronx,95.0,16925458.0,729.0
X055,P.S. 55 - BRONX,SCA CIP,MASONRY/WINDOWS/ROOFS/PARAPETS,"CM, F&E",2017-06-12,2019-06-11,1107505.0,89398.0,89257.0,"DSF: 0000839643, 0000839644, 0000839645, 0000839646",False,bronx,92.0,1018248.0,729.0
X055,P.S. 55 - BRONX,SCA IEH,"IEH PO18-RMS 202,401,403,416,322",Construction,2017-11-27,,,1170.0,670.0,DSF: 0000049488,False,bronx,,,
X055,P.S. 55 - BRONX,DOE- RESOA,FY16 RESO A PLAYGROUND REDEVELOPMENT,Construction,2015-11-04,,1000000.0,962064.0,962064.0,DSF: 0000822713,False,bronx,4.0,37936.0,
X063,P.S. 63 - BRONX,SCA IEH,"IEH PO18-RMS 502,402,102",Construction,2017-08-31,,,105132.0,7886.0,DSF: 0000048485,False,bronx,,,
X070,P.S. 70 - BRONX,SCA CIP,EXT MASONRY/ROOFS/PARAPETS,Construction,2016-07-11,2018-07-10,7276373.0,8532983.0,5288201.0,"DSF: 0000794783, 0000817970, 0000821923",False,bronx,27.0,1988172.0,729.0
X070,P.S. 70 - BRONX,SCA CIP,EXT MASONRY/ROOFS/PARAPETS,"CM, F&E",2016-07-11,2018-07-10,655992.0,348978.0,261981.0,"DSF: 0000794783, 0000817970, 0000821923",False,bronx,60.0,394011.0,729.0
M015,P.S. 15 - MANHATTAN,SCA CIP RESOA,FY17 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Design,2017-12-28,2018-06-25,20100.0,18795.0,5218.0,DSF: 0000844885,False,manhattan,74.0,14882.0,179.0
M015,P.S. 15 - MANHATTAN,DOE - Skilled Trades,ACE STEAM SYSTEM OPTIMIZATION,Construction,2016-10-06,,,41588.0,41588.0,DSF: 0000808159,False,manhattan,,,
M019,P.S. 19 - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,2016-01-07,,,385556.0,385556.0,DSF: 0000808201,False,manhattan,,,
M019,P.S. 19 - MANHATTAN,Trust For Public Lan,FY18 RESO A PLAYGROUNDS,Construction,2017-12-15,2018-10-15,825000.0,825000.0,0.0,DSF: 0000867348,False,manhattan,100.0,825000.0,304.0
M022,"NEW EXPLORATIONS INTO SCIENCE,",DIIT - RESOA,FY14 RESO A TECHNOLOGY,Purch & Install,2017-12-26,2018-01-25,200000.0,198486.0,198486.0,DSF: 0000777407,True,manhattan,1.0,1514.0,30.0
M025,LOWER EAST SIDE PREP HS - M,DOE - Skilled Trades,ACE HOT WATER HEATER,Construction,2016-09-15,,,116301.0,797.0,DSF: 0000822662,False,manhattan,,,
M056,J.H.S. 292 - MANHATTAN,SCA CIP,ROOFS,Design,2017-09-27,2018-03-05,243349.0,243349.0,54621.0,DSF: 0000852643,True,manhattan,78.0,188728.0,159.0
M060,EASTSIDE COMMUNITY HS - M,Fast Track Projects,FIFTH FLOOR CEILING REPLACEMENT,Construction,2013-08-26,,,294696.0,294696.0,DSF: 0000777438,False,manhattan,,,
M060,EASTSIDE COMMUNITY HS - M,Fast Track Projects,EMERGENCY WALL DEMO,Construction,2012-12-04,,,5605673.0,5600818.0,DSF: 0000023053,False,manhattan,,,
M061,P.S. 315 - MANHATTAN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,2013-06-24,2013-12-31,,381215.0,381215.0,DSF: 0000777091,False,manhattan,,,190.0
M061,P.S. 361 - MANHATTAN,Trust For Public Lan,FY17 RESO A PLAYGROUND REDEVELOPMENT,Construction,2017-10-06,2018-06-01,267600.0,267600.0,0.0,DSF: 0000844213,False,manhattan,100.0,267600.0,238.0
M063,P.S. 63 - MANHATTAN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,2013-06-24,2013-12-31,,147186.0,0.0,DSF: 0000777093,True,manhattan,,,190.0
M064,P.S. 64 - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,2017-09-06,,,170000.0,2325.0,DSF: 0000865997,False,manhattan,,,
M097,BARD COLLEGE HS - MANHATTAN,SCA CIP,NON-SANDY:MASONRY/ROOF/PARAPET/SANDY FLOOD/MSNRY,Construction,2015-09-10,2016-12-02,7840605.0,8665819.0,7894088.0,"DSF: 0000798565, 0000808949, 0000808951, 0000808952, 0000821636",False,manhattan,-1.0,-53483.0,449.0
M097,BARD COLLEGE HS - MANHATTAN,SCA CIP,NON-SANDY:MASONRY/ROOF/PARAPET/SANDY FLOOD/MSNRY,"CM, F&E",2015-09-10,2016-12-02,801312.0,1107603.0,1099619.0,"DSF: 0000798565, 0000808949, 0000808951, 0000808952, 0000821636",False,manhattan,-37.0,-298307.0,449.0
M110,P.S. 110 - MANHATTAN,SCA IEH,IEH PO18-ROOMS 501 AND 504,Construction,2017-11-30,,,18147.0,2998.0,DSF: 0000049605,False,manhattan,,,
M134,P.S. 134 - MANHATTAN,DOE - Skilled Trades,MAIN & SIDE ENTRANCE DOORS,Construction,2016-06-30,,,124668.0,124668.0,DSF: 0000831482,False,manhattan,,,
M137,P.S. 184 - MANHATTAN,SCA CIP,PAVED AREA-BLACKTOP,Scope,2017-12-18,2018-03-21,18079.0,18079.0,505.0,DSF: 0000876108,True,manhattan,97.0,17574.0,93.0
M140,P.S. 140 NATHAN STRAUS,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,2017-11-17,2018-01-31,100000.0,99807.0,99807.0,DSF: 0000844404,True,manhattan,0.0,193.0,75.0
M142,P.S. 142 - MANHATTAN,SCA CIP,PLAY YARD SINKHOLE,Construction,2017-04-19,2018-04-18,3024000.0,2833234.0,2345949.0,DSF: 0000809493,False,manhattan,22.0,678051.0,364.0
M142,P.S. 142 - MANHATTAN,SCA CIP,PLAY YARD SINKHOLE,"CM, F&E",2017-04-19,2018-04-18,188160.0,244258.0,240819.0,DSF: 0000809493,False,manhattan,-28.000000000000004,-52659.0,364.0
M142,P.S. 142 - MANHATTAN,SCA IEH,IEH PO18-2ND FL CORRIDOR,Construction,2017-11-16,,,109290.0,2204.0,DSF: 0000049368,False,manhattan,,,
M142,P.S. 142 - MANHATTAN,SCA IEH,IEH PO18-ROOM 112,Construction,2017-11-24,,,18222.0,354.0,DSF: 0000049489,False,manhattan,,,
M188,P.S. 188 - MANHATTAN,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,2017-03-01,,,800.0,0.0,DSF:,True,manhattan,,,
M446,UNIVERSITY NEIGHBORHOOD HS - M,DOE- RESOA,FY17 RESO A SCIENCE LAB,Construction,2017-07-21,,100000.0,44038.0,44038.0,DSF: 0000844217,False,manhattan,56.00000000000001,55962.0,
M510,CASCADES CTR FOR TCHING & LNG,SCA CIP,ENY AUDITIORIUM UPGRADE,Construction,2017-06-27,2018-01-22,169795.0,153872.0,2625.0,DSF: 0000865813,False,manhattan,98.0,167170.0,209.0
M510,CASCADES CTR FOR TCHING & LNG,SCA CIP,ENY AUDITIORIUM UPGRADE,"CM, F&E",2017-06-27,2018-01-22,39352.0,16401.0,7285.0,DSF: 0000865813,False,manhattan,81.0,32067.0,209.0
M510,SATELLITE AT FORSYTHE,SCA CIP,PARAPETS,Scope,2017-09-06,2018-03-06,225000.0,225000.0,41749.0,DSF: 0000047398,True,manhattan,81.0,183251.0,181.0
M510,CASCADES CTR FOR TCHING & LNG,DOE- RESOA,FY16 RESO A LIBRARY UPGRADE,Construction,2017-02-17,,120000.0,120000.0,76528.0,DSF: 0000822728,False,manhattan,36.0,43472.0,
M510,CASCADES CTR FOR TCHING & LNG,DOE - Skilled Trades,ACE STEAM SYSTEM OPTIMIZATION,Construction,2016-10-24,,,149621.0,149621.0,DSF: 0000822657,False,manhattan,,,
M002,P.S. 2 - MANHATTAN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,2017-05-12,2018-01-15,117000.0,33196.0,33196.0,DSF: 0000845031,False,manhattan,72.0,83804.0,248.0
M003,P.S. 3 - MANHATTAN,SCA CIP RESOA,FY17 RESO A SUPPLEMENTAL COOLING,Design,2017-08-22,2017-12-22,18000.0,16538.0,5849.0,DSF: 0000844809,False,manhattan,68.0,12151.0,122.0
M006,P.S. 6 - MANHATTAN,SCA CIP RESOA,FY14 RESO A PLAYGROUND REDEVELOPMENT,Construction,2017-05-10,2018-01-04,887743.0,1160943.0,511609.0,DSF: 0000798670,False,manhattan,42.0,376134.0,239.0
M006,P.S. 6 - MANHATTAN,SCA CIP RESOA,FY14 RESO A PLAYGROUND REDEVELOPMENT,"CM, F&E",2017-05-10,2018-01-04,60528.0,95352.0,38170.0,DSF: 0000798670,False,manhattan,37.0,22358.0,239.0
M006,P.S. 6 - MANHATTAN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,2013-06-24,2013-12-31,,253896.0,0.0,DSF: 0000777058,True,manhattan,,,190.0
M011,P.S. 11 - MANHATTAN,SCA CIP,EXTERIOR MASONRY,Scope,2017-10-02,2018-02-21,90000.0,90000.0,6022.0,DSF: 0000853806,False,manhattan,93.0,83978.0,142.0
M011,P.S. 11 - MANHATTAN,DOE- RESOA,FY17 RESO A AUDITORIUM  UPGRADE,Construction,2017-07-25,,75000.0,76120.0,76120.0,DSF: 0000844808,False,manhattan,-1.0,-1120.0,
X073,P.S. 73 - BRONX,SCA IEH,IEH PO18-5TH FL STAIRCASE E RAN RM CANVAS DUCT WOR,Construction,2017-12-19,,,1310.0,810.0,DSF: 0000049789,False,bronx,,,
X082,I.S. 232 - BRONX,SCA CIP,OIL VAULT & STAIRWAY/PIPING/TOILETS/FLOOD,Construction,2016-10-11,2018-12-29,9950372.0,8944229.0,3088474.0,"DSF: 0000030993, 0000818199, 0000821948, 0000821949",False,bronx,69.0,6861898.0,809.0
X082,I.S. 232 - BRONX,SCA CIP,OIL VAULT & STAIRWAY/PIPING/TOILETS/FLOOD,"CM, F&E",2016-10-11,2018-12-29,762315.0,212111.0,210459.0,"DSF: 0000030993, 0000818199, 0000821948, 0000821949",False,bronx,72.0,551856.0,809.0
X090,THE FAMILY SCHOOL - BRONX,SCA CIP,EXTERIOR MASONRY/ROOFS,Construction,2017-04-17,2018-10-08,4962251.0,4600983.0,712039.0,"DSF: 0000818363, 0000818364",False,bronx,86.0,4250212.0,539.0
X090,THE FAMILY SCHOOL - BRONX,SCA CIP,EXTERIOR MASONRY/ROOFS,"CM, F&E",2017-04-17,2018-10-08,419253.0,155548.0,155548.0,"DSF: 0000818363, 0000818364",False,bronx,63.0,263705.0,539.0
X104,P.S. 199 - BRONX,SCA CIP,5TH SBHC,Construction,2017-07-20,2019-01-10,2528213.0,2292651.0,556331.0,DSF: 0000865726,False,bronx,78.0,1971882.0,539.0
X104,P.S. 199 - BRONX,SCA CIP,5TH SBHC,"CM, F&E",2017-07-20,2019-01-10,171601.0,55062.0,40772.0,DSF: 0000865726,False,bronx,76.0,130829.0,539.0
X104,P.S. 199 - BRONX,SCA CIP,FLOOD ELIMINATION,Scope,2017-12-18,2018-05-04,15399.0,15399.0,0.0,DSF: 0000885136,True,bronx,100.0,15399.0,137.0
X104,P.S. 199 - BRONX,SCA CIP RESOA,FY16 RESO A SCIENCE LAB UPGRADES,Design,2017-10-23,2018-03-28,42000.0,23004.0,4307.0,DSF: 0000822714,True,bronx,90.0,37693.0,156.0
X104,P.S. 199 - BRONX,SCA IEH,IEH PO18-AUDITORIUM STAGE,Construction,2017-07-12,,,1080.0,580.0,DSF: 0000047605,False,bronx,,,
X109,P.S. 109 - BRONX,SCA CIP,WATER PENETRATION/ROOF/ PARAPET/MASONRY,Construction,2017-05-15,2018-11-05,4514574.0,4104135.0,614579.0,"DSF: 0000728491, 0000795504, 0000795505, 0000795506",False,bronx,86.0,3899995.0,539.0
X109,P.S. 109 - BRONX,SCA CIP,WATER PENETRATION/ROOF/ PARAPET/MASONRY,"CM, F&E",2017-05-15,2018-11-05,528044.0,164840.0,164840.0,"DSF: 0000728491, 0000795504, 0000795505, 0000795506",False,bronx,69.0,363204.0,539.0
X109,P.S. 109 - BRONX,SCA IEH,IEH PO18-CAFETERIA,Construction,2017-10-19,,,1878.0,1378.0,DSF: 0000049029,False,bronx,,,
X109,P.S. 109 - BRONX,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,2017-09-07,,,340000.0,2207.0,DSF: 0000866070,False,bronx,,,
X117,YOUNG WOMEN'S LEADERSHIP SCHL,SCA CIP,SCIENCE LAB UPGRADES/SCIENCE LAB UPGRADES,Construction,2017-12-11,2019-06-03,2358951.0,2133621.0,20131.0,"DSF: 0000818851, 0000821908",False,bronx,99.0,2338820.0,539.0
X117,YOUNG WOMEN'S LEADERSHIP SCHL,SCA CIP,SCIENCE LAB UPGRADES/SCIENCE LAB UPGRADES,"CM, F&E",2017-12-11,2019-06-03,273685.0,33373.0,33373.0,"DSF: 0000818851, 0000821908",False,bronx,88.0,240312.0,539.0
X117,I.S. 117 - BRONX,SCA IEH,SOIL INVESTIGATION AND REMEDIATION,Construction,2016-02-18,,,11100.0,8103.0,DSF: 0000843739,False,bronx,,,
X117,YOUNG WOMEN'S LEADERSHIP SCHOO,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,2017-10-03,2018-01-31,36000.0,35729.0,35729.0,DSF: 0000844659,True,bronx,1.0,271.0,120.0
X117,YOUNG WOMEN'S LEADERSHIP SCHOO,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,2017-10-03,2018-02-01,36000.0,35730.0,35730.0,DSF: 0000845028,True,bronx,1.0,270.0,121.0
X117,I.S. 117 - BRONX,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,2017-09-07,,,170000.0,897.0,DSF: 0000866071,False,bronx,,,
X132,P.S. 132 - BRONX,SCA IEH,IEH PO18-CLOSET IN A/P RM 110,Construction,2017-12-19,,,1310.0,810.0,DSF: 0000049726,False,bronx,,,
X132,P.S. 132 - BRONX,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,2016-07-01,2017-07-01,,,0.0,DSF: 0000800237,True,bronx,,,365.0
X132,P.S. 132 - BRONX,DOE - Skilled Trades,FUEL OIL TRANSFER PUMPS,Construction,2016-02-10,,,66862.0,66862.0,DSF: 0000823621,False,bronx,,,
X132,P.S. 132 - BRONX,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,2017-09-07,,,170000.0,1589.0,DSF: 0000866072,False,bronx,,,
X145,ALC - MS 145,SCA IEH,IEH PO18-RM 439,Construction,2017-11-16,,,27782.0,882.0,DSF: 0000049366,False,bronx,,,
X147,I.S. 339 - BRONX,SCA CIP,RENEWAL SCHOOL BASED HEALTH CENTER,Construction,2016-12-12,2017-10-07,2160000.0,2014569.0,1664546.0,DSF: 0000844006,False,bronx,23.0,495454.0,299.0
X147,I.S. 339 - BRONX,SCA CIP,RENEWAL SCHOOL BASED HEALTH CENTER,"CM, F&E",2016-12-12,2017-10-07,134400.0,143232.0,137264.0,DSF: 0000844006,False,bronx,-2.0,-2864.0,299.0
X147,I.S. 339 - BRONX,SCA CIP,EMERGENCY GENERATOR,Construction,2017-06-26,2018-12-17,1092770.0,971904.0,188659.0,DSF: 0000844039,False,bronx,83.0,904111.0,539.0
X147,I.S. 339 - BRONX,SCA CIP,EMERGENCY GENERATOR,"CM, F&E",2017-06-26,2018-12-17,253260.0,68257.0,67546.0,DSF: 0000844039,False,bronx,73.0,185714.0,539.0
X147,I.S. 339 - BRONX,DOE - Skilled Trades,AC INITIATIVE,Construction,2017-08-14,,,117009.0,117009.0,DSF: 0000863201,False,bronx,,,
X166,BRONX EARLY COLLEGE ACADEMY,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,2013-06-24,2013-12-31,,8275.0,0.0,DSF: 0000777191,True,bronx,,,190.0
X170,P.S. 170 - BRONX,SCA CIP,MASONRY ISSUE/PARAPETS/ROOFS,Design,2017-09-22,2018-02-28,240787.0,240787.0,80122.0,"DSF: 0000046306, 0000863544, 0000863545",True,bronx,67.0,160665.0,159.0
X173,P.S. 236 - BRONX,SCA CIP,FALLING COPING STONES/EXT MASONRY,Construction,2016-11-09,2018-05-02,2915732.0,2658199.0,1590720.0,"DSF: 0000841657, 0000841659",False,bronx,45.0,1325012.0,539.0
X173,P.S. 236 - BRONX,SCA CIP,FALLING COPING STONES/EXT MASONRY,"CM, F&E",2016-11-09,2018-05-02,196764.0,178783.0,178783.0,"DSF: 0000841657, 0000841659",False,bronx,9.0,17981.0,539.0
X229,I.S. 229 - BRONX,SCA CIP,SEWAGE LEAK/FIRE SYS SPRINKLER/CRACKED CONCRETE/FA,Construction,2015-05-04,2017-05-02,16025828.0,15253409.0,10471199.0,"DSF: 0000027056, 0000027593, 0000796822, 0000799351",False,bronx,35.0,5554629.0,729.0
X229,I.S. 229 - BRONX,SCA CIP,SEWAGE LEAK/FIRE SYS SPRINKLER/CRACKED CONCRETE/FA,"CM, F&E",2015-05-04,2017-05-02,1081480.0,1281552.0,1277534.0,"DSF: 0000027056, 0000027593, 0000796822, 0000799351",False,bronx,-18.0,-196054.0,729.0
X235,P.S./I.S. 218 - BRONX,DOE - Skilled Trades,DOMESTIC WATER BOOSTER PUMPS REPLACEMENT,Construction,2016-09-06,,,44536.0,0.0,DSF: 0000844167,True,bronx,,,
M017,P.P.A.S. - MANHATTAN,SCA CIP,MASONRY/AUD UPG/WIN/FLOOD/PARAPETS/ROOFS/FA,Construction,2016-07-19,2017-10-11,8292284.0,7914835.0,6333782.0,"DSF: 0000808176, 0000808179, 0000808180, 0000822005, 0000822121, 0000822122, 0000830259",False,manhattan,24.0,1958502.0,449.0
M017,P.P.A.S. - MANHATTAN,SCA CIP,MASONRY/AUD UPG/WIN/FLOOD/PARAPETS/ROOFS/FA,"CM, F&E",2016-07-19,2017-10-11,826595.0,740667.0,717638.0,"DSF: 0000808176, 0000808179, 0000808180, 0000822005, 0000822121, 0000822122, 0000830259",False,manhattan,13.0,108957.0,449.0
M017,P.P.A.S. - MANHATTAN,Fast Track Projects,FY13 RESO A CTF ROOM CONVERSIONS / PART,Construction,2016-10-26,,,1423626.0,943455.0,DSF: 0000754683,False,manhattan,,,
M017,P.P.A.S. - MANHATTAN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,2013-06-24,2013-12-31,,140221.0,0.0,DSF: 0000777068,True,manhattan,,,190.0
