project_building_identifier,project_school_name,project_type,project_description,project_phase_name,project_phase_actual_start_date,project_phase_planned_end_date,project_phase_actual_end_date,project_budget_amount,final_estimate_of_actual_costs_through_end_of_phase_amount,total_phase_actual_spending_amount,dsf_number_s,failure,project_type_SCA,project_type_CIP,project_type_DIIT,project_type_DOE,project_type_DOES,project_type_DOER,project_type_RESOA,project_type_IEH,project_type_PRE-K,project_type_DCAS,project_type_FAST_TRACK_PROJECTS,borough,over_budget_percentage,over_budget_amount,start_and_planned_end_diff
M132,P.S. 132 - MANHATTAN,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Scope,,,PNS,0.0,0.0,0.0,DSF: 0000867266,True,1,1,0,0,0,0,1,0,0,0,0,manhattan,,0.0,
M132,P.S. 132 - MANHATTAN,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Design,,,PNS,2880.0,2880.0,0.0,DSF: 0000867266,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,2880.0,
M132,P.S. 132 - MANHATTAN,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Construction,,,PNS,42240.0,42240.0,0.0,DSF: 0000867266,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,42240.0,
M132,P.S. 132 - MANHATTAN,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,"CM, F&E",,,PNS,2880.0,2880.0,0.0,DSF: 0000867266,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,2880.0,
M143,I.S. 348 - MANHATTAN,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,Scope,,,PNS,0.0,0.0,0.0,DSF: 0000866354,True,1,1,0,0,0,0,1,0,0,0,0,manhattan,,0.0,
M143,I.S. 348 - MANHATTAN,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,Design,,,PNS,4080.0,4080.0,0.0,DSF: 0000866354,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,4080.0,
M143,I.S. 348 - MANHATTAN,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,Construction,,,PNS,59840.0,59840.0,0.0,DSF: 0000866354,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,59840.0,
X722,X721 SPED - BRONX,SCA CIP,EXT MSNRY WATER PENETR/WINDOW/ROOF/ FLOOD/PARAPET,"CM, F&E",,,PNS,938858.0,37088.0,37088.0,"DSF: 0000775579, 0000775993, 0000775994, 0000775995, 0000776000",False,1,1,0,0,0,0,0,0,0,0,0,bronx,96.0,901770.0,
XAAF,X000 - BRONX,SCA Furniture & Equi,FY16 RESO A TECHNOLOGY,F&E,,,PNS,35000.0,35000.0,34808.0,DSF: 0000843725,False,1,0,0,0,0,0,0,0,0,0,0,bronx,1.0,192.0,
XADO,X000 - BRONX,SCA Furniture & Equi,FY16 RESO A TECHNOLOGY,F&E,,,PNS,55150.0,55150.0,54999.0,DSF: 0000843723,False,1,0,0,0,0,0,0,0,0,0,0,bronx,0.0,151.0,
XAEE,X000 - BRONX,SCA Furniture & Equi,FY16 RESO A TECHNOLOGY,F&E,,,PNS,35000.0,35000.0,0.0,DSF: 0000843720,False,1,0,0,0,0,0,0,0,0,0,0,bronx,100.0,35000.0,
X006,P.S. 6 - BRONX,SCA CIP RESOA,RESO A NEW GYM BUILDING,Scope,,,PNS,0.0,43389.0,1926.0,DSF: 0000844754,False,1,1,0,0,0,0,1,0,0,0,0,bronx,-inf,-1926.0,
X006,P.S. 6 - BRONX,SCA CIP RESOA,RESO A NEW GYM BUILDING,Design,,,PNS,3000.0,7706.0,7706.0,DSF: 0000844754,True,1,1,0,0,0,0,1,0,0,0,0,bronx,-157.0,-4706.0,
X006,P.S. 6 - BRONX,SCA CIP RESOA,RESO A NEW GYM BUILDING,Construction,,,PNS,44000.0,44000.0,0.0,DSF: 0000844754,False,1,1,0,0,0,0,1,0,0,0,0,bronx,100.0,44000.0,
X006,P.S. 6 - BRONX,SCA CIP RESOA,RESO A NEW GYM BUILDING,"CM, F&E",,,PNS,3000.0,3000.0,0.0,DSF: 0000844754,False,1,1,0,0,0,0,1,0,0,0,0,bronx,100.0,3000.0,
X047,P.S. 47 - BRONX,SCA CIP RESOA,FY17 RESO A AUDITORIUM  UPGRADE,Design,,,PNS,30000.0,18120.0,3810.0,DSF: 0000844897,False,1,1,0,0,0,0,1,0,0,0,0,bronx,87.0,26190.0,
X047,P.S. 47 - BRONX,SCA CIP RESOA,FY17 RESO A AUDITORIUM  UPGRADE,Construction,,,PNS,440000.0,440000.0,179.0,DSF: 0000844897,False,1,1,0,0,0,0,1,0,0,0,0,bronx,100.0,439821.0,
X047,P.S. 47 - BRONX,SCA CIP RESOA,FY17 RESO A AUDITORIUM  UPGRADE,"CM, F&E",,,PNS,30000.0,30000.0,352.0,DSF: 0000844897,False,1,1,0,0,0,0,1,0,0,0,0,bronx,99.0,29648.0,
X057,P.S. 57 - BRONX,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/ROOFS/PARAPETS,Construction,,,PNS,4340341.0,4340341.0,117007.0,"DSF: 0000839662, 0000839664, 0000839665, 0000844740",False,1,1,0,0,0,0,0,0,0,0,0,bronx,97.0,4223334.0,
X057,P.S. 57 - BRONX,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/ROOFS/PARAPETS,"CM, F&E",,,PNS,461026.0,461026.0,42169.0,"DSF: 0000839662, 0000839664, 0000839665, 0000844740",False,1,1,0,0,0,0,0,0,0,0,0,bronx,91.0,418857.0,
X057,P.S. 57 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Scope,,,PNS,0.0,102.0,102.0,DSF: 0000867297,False,1,1,0,0,0,0,1,0,0,0,0,bronx,-inf,-102.0,
X057,P.S. 57 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Design,,,PNS,21000.0,20898.0,410.0,DSF: 0000867297,False,1,1,0,0,0,0,1,0,0,0,0,bronx,98.0,20590.0,
X057,P.S. 57 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Construction,,,PNS,308000.0,308000.0,0.0,DSF: 0000867297,False,1,1,0,0,0,0,1,0,0,0,0,bronx,100.0,308000.0,
X057,P.S. 57 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,"CM, F&E",,,PNS,21000.0,21000.0,0.0,DSF: 0000867297,False,1,1,0,0,0,0,1,0,0,0,0,bronx,100.0,21000.0,
X077,P.S. 195 - BRONX,SCA CIP RESOA,FY17 RESO A AUDITORIUM  UPGRADE,Construction,,,PNS,440000.0,440000.0,10699.0,DSF: 0000844896,False,1,1,0,0,0,0,1,0,0,0,0,bronx,98.0,429301.0,
X077,P.S. 195 - BRONX,SCA CIP RESOA,FY17 RESO A AUDITORIUM  UPGRADE,"CM, F&E",,,PNS,30000.0,30000.0,11789.0,DSF: 0000844896,False,1,1,0,0,0,0,1,0,0,0,0,bronx,61.0,18211.0,
X102,P.S. 536 - BRONX,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Scope,,,PNS,0.0,0.0,0.0,DSF: 0000867260,True,1,1,0,0,0,0,1,0,0,0,0,bronx,,0.0,
X102,P.S. 536 - BRONX,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Design,,,PNS,8400.0,8400.0,0.0,DSF: 0000867260,False,1,1,0,0,0,0,1,0,0,0,0,bronx,100.0,8400.0,
X102,P.S. 536 - BRONX,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Construction,,,PNS,123200.0,123200.0,0.0,DSF: 0000867260,False,1,1,0,0,0,0,1,0,0,0,0,bronx,100.0,123200.0,
X102,P.S. 536 - BRONX,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,"CM, F&E",,,PNS,8400.0,8400.0,0.0,DSF: 0000867260,False,1,1,0,0,0,0,1,0,0,0,0,bronx,100.0,8400.0,
X116,ENTRADA ACADEMY - BRONX,Trust For Public Lan,FY18 RESO A PLAYGROUNDS,Construction,,,PNS,425000.0,425000.0,0.0,DSF: 0000866452,False,0,0,0,0,0,0,0,0,0,0,0,bronx,100.0,425000.0,
X116,ENTRADA ACADEMY - BRONX,Trust For Public Lan,FY18 RESO A PLAYGROUNDS,F&E,,,PNS,114750.0,114750.0,0.0,DSF: 0000866452,False,0,0,0,0,0,0,0,0,0,0,0,bronx,100.0,114750.0,
X129,I.S. 316 - BRONX,SCA CIP RESOA,FY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Construction,,,PNS,453200.0,453200.0,125.0,DSF: 0000823559,False,1,1,0,0,0,0,1,0,0,0,0,bronx,100.0,453075.0,
X129,I.S. 316 - BRONX,SCA CIP RESOA,FY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,"CM, F&E",,,PNS,75394.0,46695.0,2201.0,DSF: 0000823559,False,1,1,0,0,0,0,1,0,0,0,0,bronx,97.0,73193.0,
X136,X186 SPED - BRONX,SCA CIP,PLANYC BOILER CONVERSION/PLANYC CLIMATE CTRL/FLOOD,Construction,,,PNS,10012653.0,10012653.0,33034.0,"DSF: 0000795961, 0000798387, 0000865946",False,1,1,0,0,0,0,0,0,0,0,0,bronx,100.0,9979619.0,
X136,X186 SPED - BRONX,SCA CIP,PLANYC BOILER CONVERSION/PLANYC CLIMATE CTRL/FLOOD,"CM, F&E",,,PNS,752208.0,752208.0,30337.0,"DSF: 0000795961, 0000798387, 0000865946",False,1,1,0,0,0,0,0,0,0,0,0,bronx,96.0,721871.0,
M143,I.S. 348 - MANHATTAN,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,"CM, F&E",,,PNS,4080.0,4080.0,0.0,DSF: 0000866354,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,4080.0,
M143,I.S. 348 - MANHATTAN,SCA CIP RESOA,FY18 RESO A SAFETY SYSTEMS,Scope,,,PNS,0.0,0.0,0.0,DSF: 0000867321,True,1,1,0,0,0,0,1,0,0,0,0,manhattan,,0.0,
M143,I.S. 348 - MANHATTAN,SCA CIP RESOA,FY18 RESO A SAFETY SYSTEMS,Design,,,PNS,2880.0,2880.0,0.0,DSF: 0000867321,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,2880.0,
M143,I.S. 348 - MANHATTAN,SCA CIP RESOA,FY18 RESO A SAFETY SYSTEMS,Construction,,,PNS,42240.0,42240.0,0.0,DSF: 0000867321,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,42240.0,
M143,I.S. 348 - MANHATTAN,SCA CIP RESOA,FY18 RESO A SAFETY SYSTEMS,"CM, F&E",,,PNS,2880.0,2880.0,0.0,DSF: 0000867321,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,2880.0,
M143,I.S. 143 - MANHATTAN,DOE- RESOA,FY14 RESO A LIBRARY UPGRADE,Construction,,,PNS,50000.0,50000.0,0.0,DSF: 0000798849,False,0,0,0,1,0,0,1,0,0,0,0,manhattan,100.0,50000.0,
M152,P.S. 152 - MANHATTAN,SCA CIP,ELECTRICAL SYSTEMS,Construction,,,PNS,978867.0,978867.0,11521.0,DSF: 0000853636,False,1,1,0,0,0,0,0,0,0,0,0,manhattan,99.0,967346.0,
M152,P.S. 152 - MANHATTAN,SCA CIP,ELECTRICAL SYSTEMS,"CM, F&E",,,PNS,226862.0,226862.0,10229.0,DSF: 0000853636,False,1,1,0,0,0,0,0,0,0,0,0,manhattan,95.0,216633.0,
M153,P.S. 153 - MANHATTAN,SCA CIP RESOA,FY17 RESO A PLAYGROUND REDEVELPOMENT,Construction,,,PNS,385724.0,385724.0,563.0,DSF: 0000866290,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,385161.0,
M153,P.S. 153 - MANHATTAN,SCA CIP RESOA,FY17 RESO A PLAYGROUND REDEVELPOMENT,"CM, F&E",,,PNS,26299.0,26299.0,5559.0,DSF: 0000866290,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,79.0,20740.0,
M153,P.S. 368 - MANHATTAN,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Scope,,,PNS,,0.0,0.0,DSF: 0000867192,True,1,1,0,0,0,0,1,0,0,0,0,manhattan,,,
M153,P.S. 368 - MANHATTAN,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Design,,,PNS,,0.0,0.0,DSF: 0000867192,True,1,1,0,0,0,0,1,0,0,0,0,manhattan,,,
M153,P.S. 368 - MANHATTAN,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Construction,,,PNS,,0.0,0.0,DSF: 0000867192,True,1,1,0,0,0,0,1,0,0,0,0,manhattan,,,
M153,P.S. 368 - MANHATTAN,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,"CM, F&E",,,PNS,,0.0,0.0,DSF: 0000867192,True,1,1,0,0,0,0,1,0,0,0,0,manhattan,,,
M153,P.S. 368 - MANHATTAN,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Scope,,,PNS,,0.0,0.0,DSF: 0000867355,True,1,1,0,0,0,0,1,0,0,0,0,manhattan,,,
M153,P.S. 368 - MANHATTAN,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Design,,,PNS,,0.0,0.0,DSF: 0000867355,True,1,1,0,0,0,0,1,0,0,0,0,manhattan,,,
M153,P.S. 368 - MANHATTAN,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Construction,,,PNS,,0.0,0.0,DSF: 0000867355,True,1,1,0,0,0,0,1,0,0,0,0,manhattan,,,
M153,P.S. 368 - MANHATTAN,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,"CM, F&E",,,PNS,,0.0,0.0,DSF: 0000867355,True,1,1,0,0,0,0,1,0,0,0,0,manhattan,,,
M164,I.S. 328 - MANHATTAN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Scope,,,PNS,0.0,0.0,0.0,DSF: 0000866723,True,1,1,0,0,0,0,1,0,0,0,0,manhattan,,0.0,
M164,I.S. 328 - MANHATTAN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Design,,,PNS,6000.0,6000.0,0.0,DSF: 0000866723,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,6000.0,
M164,I.S. 328 - MANHATTAN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Construction,,,PNS,88000.0,88000.0,0.0,DSF: 0000866723,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,88000.0,
M164,I.S. 328 - MANHATTAN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,"CM, F&E",,,PNS,6000.0,6000.0,0.0,DSF: 0000866723,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,6000.0,
M173,P.S. 173 - MANHATTAN,SCA CIP,FLOOD ELIMINATION/PARAPETS/EXT. MASONRY,Design,,,PNS,612910.0,612910.0,2.0,"DSF: 0000876476, 0000876478, 0000876479",False,1,1,0,0,0,0,0,0,0,0,0,manhattan,100.0,612908.0,
M173,P.S. 173 - MANHATTAN,SCA CIP,FLOOD ELIMINATION/PARAPETS/EXT. MASONRY,Construction,,,PNS,10782208.0,10782208.0,0.0,"DSF: 0000876476, 0000876478, 0000876479",False,1,1,0,0,0,0,0,0,0,0,0,manhattan,100.0,10782208.0,
M173,P.S. 173 - MANHATTAN,SCA CIP,FLOOD ELIMINATION/PARAPETS/EXT. MASONRY,"CM, F&E",,,PNS,827109.0,827109.0,0.0,"DSF: 0000876476, 0000876478, 0000876479",False,1,1,0,0,0,0,0,0,0,0,0,manhattan,100.0,827109.0,
M173,P.S. 173 - MANHATTAN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Scope,,,PNS,0.0,0.0,0.0,DSF: 0000866726,True,1,1,0,0,0,0,1,0,0,0,0,manhattan,,0.0,
M173,P.S. 173 - MANHATTAN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Design,,,PNS,6000.0,6000.0,0.0,DSF: 0000866726,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,6000.0,
M173,P.S. 173 - MANHATTAN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Construction,,,PNS,88000.0,88000.0,0.0,DSF: 0000866726,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,88000.0,
M173,P.S. 173 - MANHATTAN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,"CM, F&E",,,PNS,6000.0,6000.0,0.0,DSF: 0000866726,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,6000.0,
M178,P.S. 178 - MANHATTAN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Scope,,,PNS,0.0,0.0,0.0,DSF: 0000868053,True,1,1,0,0,0,0,1,0,0,0,0,manhattan,,0.0,
M178,P.S. 178 - MANHATTAN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Design,,,PNS,7500.0,7500.0,0.0,DSF: 0000868053,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,7500.0,
M178,P.S. 178 - MANHATTAN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Construction,,,PNS,110000.0,110000.0,0.0,DSF: 0000868053,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,110000.0,
M178,P.S. 178 - MANHATTAN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,"CM, F&E",,,PNS,7500.0,7500.0,0.0,DSF: 0000868053,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,7500.0,
M187,P.S. 187 - MANHATTAN,SCA CIP RESOA,FY17 RESO A ROOFTOP PLAYGROUND,Design,,,PNS,41880.0,203451.0,4159.0,DSF: 0000844920,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,90.0,37721.0,
M187,P.S. 187 - MANHATTAN,SCA CIP RESOA,FY17 RESO A ROOFTOP PLAYGROUND,Construction,,,PNS,614240.0,3896773.0,4987.0,DSF: 0000844920,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,99.0,609253.0,
M187,P.S. 187 - MANHATTAN,SCA CIP RESOA,FY17 RESO A ROOFTOP PLAYGROUND,"CM, F&E",,,PNS,41880.0,265689.0,9714.0,DSF: 0000844920,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,77.0,32166.0,
M187,P.S. 187 - MANHATTAN,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Scope,,,PNS,,0.0,0.0,DSF: 0000867350,True,1,1,0,0,0,0,1,0,0,0,0,manhattan,,,
M187,P.S. 187 - MANHATTAN,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Design,,,PNS,,0.0,0.0,DSF: 0000867350,True,1,1,0,0,0,0,1,0,0,0,0,manhattan,,,
M187,P.S. 187 - MANHATTAN,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Construction,,,PNS,,0.0,0.0,DSF: 0000867350,True,1,1,0,0,0,0,1,0,0,0,0,manhattan,,,
M187,P.S. 187 - MANHATTAN,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,"CM, F&E",,,PNS,,0.0,0.0,DSF: 0000867350,True,1,1,0,0,0,0,1,0,0,0,0,manhattan,,,
M189,P.S. 189 - MANHATTAN,SCA CIP,FLOOD ELIMINATION/ROOFS/PARAPETS,Design,,,PNS,485365.0,485365.0,0.0,"DSF: 0000876592, 0000876594, 0000876595",False,1,1,0,0,0,0,0,0,0,0,0,manhattan,100.0,485365.0,
M189,P.S. 189 - MANHATTAN,SCA CIP,FLOOD ELIMINATION/ROOFS/PARAPETS,Construction,,,PNS,8408349.0,8408349.0,0.0,"DSF: 0000876592, 0000876594, 0000876595",False,1,1,0,0,0,0,0,0,0,0,0,manhattan,100.0,8408349.0,
M189,P.S. 189 - MANHATTAN,SCA CIP,FLOOD ELIMINATION/ROOFS/PARAPETS,"CM, F&E",,,PNS,675524.0,675524.0,0.0,"DSF: 0000876592, 0000876594, 0000876595",False,1,1,0,0,0,0,0,0,0,0,0,manhattan,100.0,675524.0,
M189,P.S. 189 - MANHATTAN,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,Scope,,,PNS,0.0,0.0,0.0,DSF: 0000866353,True,1,1,0,0,0,0,1,0,0,0,0,manhattan,,0.0,
M189,P.S. 189 - MANHATTAN,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,Design,,,PNS,3600.0,3600.0,0.0,DSF: 0000866353,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,3600.0,
M189,P.S. 189 - MANHATTAN,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,Construction,,,PNS,52800.0,52800.0,0.0,DSF: 0000866353,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,52800.0,
M189,P.S. 189 - MANHATTAN,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,"CM, F&E",,,PNS,3600.0,3600.0,0.0,DSF: 0000866353,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,3600.0,
M192,HAMILTON GRANGE MIDDLE SCHOOL,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Scope,,,PNS,0.0,0.0,0.0,DSF: 0000866423,True,1,1,0,0,0,0,1,0,0,0,0,manhattan,,0.0,
M192,HAMILTON GRANGE MIDDLE SCHOOL,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Design,,,PNS,20160.0,20160.0,0.0,DSF: 0000866423,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,20160.0,
M192,HAMILTON GRANGE MIDDLE SCHOOL,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Construction,,,PNS,295680.0,295680.0,0.0,DSF: 0000866423,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,295680.0,
M192,HAMILTON GRANGE MIDDLE SCHOOL,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,"CM, F&E",,,PNS,20160.0,20160.0,0.0,DSF: 0000866423,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,20160.0,
M218,I.S. 218 - MANHATTAN,SCA CIP RESOA,FY17 RESO A SCIENCE LAB UPGRADES,Design,,,PNS,20805.0,673076.0,3445.0,DSF: 0000844914,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,83.0,17360.0,
M218,I.S. 218 - MANHATTAN,SCA CIP RESOA,FY17 RESO A SCIENCE LAB UPGRADES,Construction,,,PNS,305146.0,10007281.0,926.0,DSF: 0000844914,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,304220.0,
M218,I.S. 218 - MANHATTAN,SCA CIP RESOA,FY17 RESO A SCIENCE LAB UPGRADES,"CM, F&E",,,PNS,20805.0,682315.0,1563.0,DSF: 0000844914,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,92.0,19242.0,
M465,HS FOR HEALTH CAREER & SCIENCE,SCA CIP,WATER MAIN - BACKFLOW ISSUE,Construction,,,PNS,934320.0,934320.0,500.0,DSF: 0000868064,False,1,1,0,0,0,0,0,0,0,0,0,manhattan,100.0,933820.0,
M465,HS FOR HEALTH CAREER & SCIENCE,SCA CIP,WATER MAIN - BACKFLOW ISSUE,"CM, F&E",,,PNS,216538.0,216538.0,0.0,DSF: 0000868064,False,1,1,0,0,0,0,0,0,0,0,0,manhattan,100.0,216538.0,
M465,HS FOR HEALTH CAREER & SCIENCE,SCA CIP RESOA,FY13 RESO A SWIMMING POOLS,Construction,,,PNS,7491378.0,7491378.0,44361.0,DSF: 0000754658,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,99.0,7447017.0,
M465,HS FOR HEALTH CAREER & SCIENCE,SCA CIP RESOA,FY13 RESO A SWIMMING POOLS,"CM, F&E",,,PNS,510776.0,510776.0,50093.0,DSF: 0000754658,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,90.0,460683.0,
M465,HS FOR LAW AND PUBLIC SERVICE,SCA CIP RESOA,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,Scope,,,PNS,0.0,0.0,0.0,DSF: 0000867190,True,1,1,0,0,0,0,1,0,0,0,0,manhattan,,0.0,
M465,HS FOR LAW AND PUBLIC SERVICE,SCA CIP RESOA,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,Design,,,PNS,4800.0,4800.0,0.0,DSF: 0000867190,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,4800.0,
M465,HS FOR LAW AND PUBLIC SERVICE,SCA CIP RESOA,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,Construction,,,PNS,70400.0,70400.0,0.0,DSF: 0000867190,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,70400.0,
M465,HS FOR LAW AND PUBLIC SERVICE,SCA CIP RESOA,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,"CM, F&E",,,PNS,4800.0,4800.0,0.0,DSF: 0000867190,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,4800.0,
M465,THE COLLEGE ACADEMY - M,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Scope,,,PNS,0.0,0.0,0.0,DSF: 0000867197,True,1,1,0,0,0,0,1,0,0,0,0,manhattan,,0.0,
M465,THE COLLEGE ACADEMY - M,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Design,,,PNS,15000.0,15000.0,0.0,DSF: 0000867197,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,15000.0,
M465,THE COLLEGE ACADEMY - M,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Construction,,,PNS,220000.0,220000.0,0.0,DSF: 0000867197,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,220000.0,
M465,THE COLLEGE ACADEMY - M,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,"CM, F&E",,,PNS,15000.0,15000.0,0.0,DSF: 0000867197,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,15000.0,
M465,HS FOR MEDIA & COMM - M,SCA CIP RESOA,FY17 RESO A ROOM CONVERSION/PARTITIONING,Design,,,PNS,69000.0,66157.0,11370.0,DSF: 0000844908,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,84.0,57630.0,
M465,HS FOR MEDIA & COMM - M,SCA CIP RESOA,FY17 RESO A ROOM CONVERSION/PARTITIONING,Construction,,,PNS,1012000.0,1012000.0,0.0,DSF: 0000844908,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,100.0,1012000.0,
M465,HS FOR MEDIA & COMM - M,SCA CIP RESOA,FY17 RESO A ROOM CONVERSION/PARTITIONING,"CM, F&E",,,PNS,69000.0,69000.0,2640.0,DSF: 0000844908,False,1,1,0,0,0,0,1,0,0,0,0,manhattan,96.0,66360.0,
X150,P.S. 150 - BRONX,SCA CIP RESOA,FY18 RESO A SUPPLEMENTAL COOLING,Scope,,,PNS,0.0,0.0,0.0,DSF: 0000867228,True,1,1,0,0,0,0,1,0,0,0,0,bronx,,0.0,
X150,P.S. 150 - BRONX,SCA CIP RESOA,FY18 RESO A SUPPLEMENTAL COOLING,Design,,,PNS,33000.0,33000.0,0.0,DSF: 0000867228,False,1,1,0,0,0,0,1,0,0,0,0,bronx,100.0,33000.0,
X150,P.S. 150 - BRONX,SCA CIP RESOA,FY18 RESO A SUPPLEMENTAL COOLING,Construction,,,PNS,484000.0,484000.0,0.0,DSF: 0000867228,False,1,1,0,0,0,0,1,0,0,0,0,bronx,100.0,484000.0,
