project_geographic_district,project_building_identifier,project_school_name,project_type,project_description,project_phase_name,project_status_name,project_phase_actual_start_date,project_phase_planned_end_date,project_phase_actual_end_date,project_budget_amount,final_estimate_of_actual_costs_through_end_of_phase_amount,total_phase_actual_spending_amount,dsf_number_s,failure
14,K071,I.S. 71 - BROOKLYN,SCA IEH,IEH PO18-CAFTERIA,Construction,In-Progress,03/08/2017,IEH,,IEH,142044.0,3220.0,DSF: 0000045605,False
14,K071,I.S. 71 - BROOKLYN,Fast Track Projects,CTF-ROOM CONVERSION,Construction,In-Progress,11/02/2016,FTK,,FTK,648032.0,290761.0,DSF: 0000844125,False
14,K071,I.S. 71 - BROOKLYN,DOE - Skilled Trades,VACUUM PUMPS - CHEMICAL FEEDER,Construction,In-Progress,10/28/2017,DOES,,DOES,250000.0,109418.0,DSF: 0000846659,False
8,X072,P.S. 72 - BRONX,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,In-Progress,05/04/2017,DOEL,,DOEL,800.0,0.0,DSF:,True
8,X072,P.S. 72 - BRONX,DOE - Skilled Trades,ACE STEAM SYSTEM OPTIMIZATION,Construction,In-Progress,11/14/2016,DOES,,DOES,72938.0,72938.0,DSF: 0000818005,False
8,X074,I.S. 424 - BRONX,SCA IEH,IEH PO18-1ST FL HALLWAY & 1ST FL HALLWAY BY RM 111,Construction,In-Progress,10/05/2017,IEH,,IEH,1420.0,920.0,DSF: 0000048891,False
8,X075,P.S. 75 - BRONX,DOE - Skilled Trades,FIRE DAMAGE,Construction,In-Progress,06/16/2015,DOES,,DOES,180756.0,180756.0,DSF: 0000821946,False
8,X093,P.S. 93 - BRONX,SCA CIP,ROOFS,Scope,In-Progress,12/18/2017,05/04/2018,,17340,17340.0,0.0,DSF: 0000884976,False
8,X093,P.S. 93 - BRONX,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,02/06/2009,02/01/2016,,DIIT,374957.0,374957.0,DSF: 0000800226,False
8,X093,P.S. 93 - BRONX,DOE - Skilled Trades,AC INITIATIVE,Construction,In-Progress,09/05/2017,DOES,,DOES,10550.0,10550.0,DSF: 0000862312,False
8,X101,P.S. 304 - BRONX,SCA CIP,PLANYC BOILER/PLANYC CLIMATE CONTROL,Design,In-Progress,07/14/2017,12/15/2017,,478288,478288.0,210974.0,"DSF: 0000795357, 0000798384",True
8,X101,P.S. 304 - BRONX,SCA IEH,"IEH PO18-RMS 338,315,3RD FL STAIR LANDINGS",Construction,In-Progress,11/06/2017,IEH,,IEH,1240.0,740.0,DSF: 0000049251,False
8,X101,I.S. 101 - BRONX,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,09/07/2017,DOES,,DOES,170000.0,995.0,DSF: 0000866069,False
8,X123,I.S. 123 - BRONX,SCA CIP,RENEWAL SCHOOL BASED HEALTH CENTER,Construction,In-Progress,09/26/2016,07/22/2017,,2193750,2052779.0,1865485.0,DSF: 0000843910,True
8,X123,I.S. 123 - BRONX,SCA CIP,RENEWAL SCHOOL BASED HEALTH CENTER,"CM, F&E",In-Progress,09/26/2016,07/22/2017,,187523,135871.0,87457.0,DSF: 0000843910,False
8,X123,I.S. 123 - BRONX,DOE- RESOA,FY16 RESO A CAFETERIA/MULTIPURPOSE,Construction,In-Progress,06/29/2016,DOER,,60000,16716.0,16716.0,DSF: 0000822347,False
8,X123,I.S. 123 - BRONX,DOE - Skilled Trades,ACE STEAM SYSTEM OPTIMIZATION,Construction,In-Progress,10/17/2016,DOES,,DOES,183975.0,116830.0,DSF: 0000818959,False
8,X125,I.S. 125 - BRONX,RCT CIP,LIGHTING REPLACEMENT (DCAS),Construction,In-Progress,06/01/2016,FTK,,FTK,1459211.0,1312758.0,DSF: 0000840918,False
8,X130,P.S. 130 - BRONX,SCA IEH,"IEH PO18-ROOMS 323, 324, 327",Construction,In-Progress,08/29/2017,IEH,,IEH,85818.0,3254.0,DSF: 0000048410,False
8,X130,P.S. 130 - BRONX,SCA IEH,"IEH PO18-RMS 328,329,207",Construction,In-Progress,10/05/2017,IEH,,IEH,76036.0,1236.0,DSF: 0000048865,False
8,X131,I.S. 131 - BRONX,SCA IEH,SOIL REMEDIATION ASSOC/W FLOOD ELIM,Construction,In-Progress,07/03/2012,IEH,,IEH,55535.0,45535.0,DSF: 0000754381,False
8,X131,I.S. 131 - BRONX,SCA IEH,SOIL INVESTIGATION AND REMEDIATION,Construction,In-Progress,06/05/2015,IEH,,IEH,28556.0,15256.0,DSF: 0000822002,False
8,X131,I.S. 131 - BRONX,DOE - Skilled Trades,PROMETHEAN BOARDS,Construction,In-Progress,09/01/2016,DOES,,DOES,127000.0,42479.0,DSF: 0000843873,False
8,X131,I.S. 131 - BRONX,DOE - Skilled Trades,DUAL FUEL ACE PROGRAM,Construction,In-Progress,03/21/2017,DOES,,DOES,1541452.0,1541452.0,DSF: 0000795893,False
8,X138,P.S. 138 - BRONX,SCA CIP,AUDITORIUM UPGRADE,Scope,In-Progress,12/18/2017,04/20/2018,,25400,25400.0,0.0,DSF: 0000885702,True
8,X152,P.S. 152 - BRONX,SCA CIP,WINDOWS,Construction,In-Progress,08/14/2017,11/06/2018,,4249125,3912707.0,130407.0,DSF: 0000796259,False
8,X152,P.S. 152 - BRONX,SCA CIP,WINDOWS,"CM, F&E",In-Progress,08/14/2017,11/06/2018,,264390,92873.0,92873.0,DSF: 0000796259,False
8,X174,BRONX MATH PREP - BRONX,SCA CIP,FLOOD ELIMINATION/ROOFS/PARAPETS/EXT. MASONRY,Scope,In-Progress,12/18/2017,05/04/2018,,130549,130549.0,0.0,"DSF: 0000886222, 0000886223, 0000886224, 0000886225",True
8,X192,I.S. 371 - BRONX,SCA CIP,EXTERIOR MASONRY/PARAPETS,Scope,In-Progress,12/18/2017,05/04/2018,,50217,50217.0,0.0,"DSF: 0000886369, 0000886370",True
8,X192,I.S. 371 - BRONX,SCA IEH,IEH PO18-BOILER #1 & #2,Construction,In-Progress,08/24/2017,IEH,,IEH,40309.0,2052.0,DSF: 0000048365,False
8,X192,I.S. 366 - X,DOE - Skilled Trades,ACE STEAM SYSTEM OPTIMIZATION,Construction,In-Progress,10/31/2016,DOES,,DOES,233035.0,83370.0,DSF: 0000819904,False
8,X192,I.S. 371 - BRONX,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,07/10/2017,DOES,,DOES,170000.0,147277.0,DSF: 0000866078,False
8,X405,HERBERT H. LEHMAN HS - X,SCA CIP,SANDY ELEC/HEAT/FLOOD/CLIM/SINK HOLES/PLUMBING,Construction,In-Progress,02/05/2015,02/08/2018,,33465101,31860165.0,28713413.0,"DSF: 0000796932, 0000796936, 0000796941, 0000796942, 0000796955, 0000799437",False
8,X405,HERBERT H. LEHMAN HS - X,SCA CIP,SANDY ELEC/HEAT/FLOOD/CLIM/SINK HOLES/PLUMBING,"CM, F&E",In-Progress,02/05/2015,02/08/2018,,2214241,1741777.0,1717859.0,"DSF: 0000796932, 0000796936, 0000796941, 0000796942, 0000796955, 0000799437",False
8,X405,HERBERT H. LEHMAN HS - X,SCA CIP,STRUCTURAL DEFECTS,Design,In-Progress,09/12/2017,02/15/2018,,35786,35786.0,9818.0,DSF: 0000863983,True
8,X405,HERBERT H. LEHMAN HS - X,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Design,In-Progress,10/16/2017,04/13/2018,,50635,50635.0,14766.0,DSF: 0000867076,True
8,X405,HERBERT H. LEHMAN HS - X,SCA CIP RESOA,FY17 RESO A LIBRARY UPGRADE,Design,In-Progress,08/31/2017,01/22/2018,,53160,41433.0,5580.0,DSF: 0000844994,True
8,X405,HERBERT H. LEHMAN HS - X,SCA IEH,IEH PO18-RM 308,Construction,In-Progress,08/15/2017,IEH,,IEH,40901.0,2646.0,DSF: 0000048208,False
8,X405,HERBERT H. LEHMAN HS - X,Fast Track Projects,CTF ROOM CONVERSION,Construction,In-Progress,05/24/2016,FTK,,FTK,221510.0,155772.0,DSF: 0000823642,False
8,X405,HERBERT H. LEHMAN HS - X,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,02/06/2017,DOES,,DOES,114959.0,103829.0,DSF: 0000820117,False
14,K126,J.H.S. 126 - BROOKLYN,SCA CIP RESOA,FY17 RESO A SUPPLEMENTAL COOLING,Design,In-Progress,10/25/2017,02/20/2018,,24000,23144.0,3422.0,DSF: 0000844842,True
14,K132,P.S. 132 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,06/24/2013,12/31/2013,,DIIT,415715.0,0.0,DSF: 0000776752,True
14,K147,P.S. 147 - BROOKLYN,SCA CIP,ROOFS,Scope,In-Progress,12/18/2017,05/04/2018,,41135,41135.0,0.0,DSF: 0000870289,True
14,K196,P.S. 196 - BROOKLYN,SCA IEH,"IEH PO18-RMS 231,432,429,403,405,531",Construction,In-Progress,05/08/2017,IEH,,IEH,1948.0,448.0,DSF: 0000046596,False
14,K196,P.S. 196 - BROOKLYN,DOE - Skilled Trades,VACUUM PUMP SYSTEM REPLACEMENT/ STEAM TRAPS,Construction,In-Progress,07/01/2017,DOES,,DOES,75622.0,0.0,DSF: 0000848383,True
14,K250,P.S. 250 - BROOKLYN,SCA IEH,SOIL INVESTIGATION AND REMEDIATION,Construction,In-Progress,02/18/2016,IEH,,IEH,143350.0,84423.0,DSF: 0000843732,False
14,K257,P.S. 257 - BROOKLYN,SCA IEH,"IEH PO18-CLASSROOMS 309, 310, 314, & 316",Construction,In-Progress,05/01/2017,IEH,,IEH,10442.0,142.0,DSF: 0000046489,False
14,K297,P.S. 297 - BROOKLYN,SCA IEH,"IEH PO18-RMS 101,108,118,120 (NURSE'S SUITE)",Construction,In-Progress,07/06/2017,IEH,,IEH,88153.0,1186.0,DSF: 0000047489,False
14,K297,THE ETHICAL COMMUNITY CHARTER,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,02/26/2016,DOES,,DOES,146142.0,146142.0,DSF: 0000805806,False
14,K297,P.S. 297 - BROOKLYN,DOE - Skilled Trades,ELECTRICAL WORK FOR A/C INITIATIVE,Construction,In-Progress,09/14/2017,DOES,,DOES,11900.0,11900.0,DSF: 0000866830,False
14,K319,P.S. 319 - BROOKLYN,DOE- RESOA,FY17 RESO A PLAYGROUND REDEVELOPMENT,Construction,In-Progress,08/08/2017,DOER,,150000,137350.0,137350.0,DSF: 0000844901,False
14,K380,P.S. 380 - BROOKLYN,DOE- RESOA,FY14 RESO A RENOVATE OUTDOOR DIGITA,Construction,In-Progress,08/25/2014,DOER,,50000,50000.0,0.0,DSF: 0000798859,False
14,K450,PROGRESS HS - K,SCA CIP,ROOFS/WINDOWS,Scope,In-Progress,12/18/2017,05/04/2018,,343830,343830.0,0.0,"DSF: 0000873584, 0000873585",True
14,K450,PROGRESS HS - K,DOE - Skilled Trades,ACE- STEAM SYSTEM UPGRADE,Construction,In-Progress,04/28/2017,DOES,,DOES,285852.0,285852.0,DSF: 0000799806,False
14,K610,AUTOMOTIVE TRADES VOC HS - K,SCA IEH,"IEH PO18-RM B21,B17,106,107,B15",Construction,In-Progress,05/31/2017,IEH,,IEH,63312.0,3042.0,DSF: 0000047045,False
14,K650,WIILIAMSBURG PREP- BROOKLYN,SCA IEH,IEH PO18-3RD FL CORRIDOR,Construction,In-Progress,08/07/2017,IEH,,IEH,61273.0,872.0,DSF: 0000047987,False
14,K650,WIILIAMSBURG PREP- BROOKLYN,SCA IEH,IEH PO18-2ND FL CORRIODR OLD BUILDING,Construction,In-Progress,08/14/2017,IEH,,IEH,84262.0,9286.0,DSF: 0000048147,False
14,K650,WILLIAMSBURG PREPARATORY SCHOO,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,In-Progress,10/03/2017,01/25/2018,,70000,69197.0,69197.0,DSF: 0000845237,True
14,K650,WILLIAMSBURG HS FOR ARCH & DES,DOE- RESOA,FY17 RESO A ELECTRICAL SYSTEMS,Construction,In-Progress,08/04/2017,DOER,,164460,164460.0,164460.0,DSF: 0000844177,False
14,K778,EL PUENTE ACADEMY - BROOKLYN,SCA CIP,MASONRY/WINDOWS/PARAPETS/ROOFS,Construction,In-Progress,07/10/2017,07/09/2019,,4792394,4333351.0,652686.0,"DSF: 0000797939, 0000797940, 0000797941, 0000822118",False
14,K778,EL PUENTE ACADEMY - BROOKLYN,SCA CIP,MASONRY/WINDOWS/PARAPETS/ROOFS,"CM, F&E",In-Progress,07/10/2017,07/09/2019,,560703,104136.0,104128.0,"DSF: 0000797939, 0000797940, 0000797941, 0000822118",False
15,K010,P.S. 10 - BROOKLYN,SCA IEH,IEH PO18-NORTH EAST CORNER OF FAN ROOM IN BASEMENT,Construction,In-Progress,12/27/2017,IEH,,IEH,0.0,0.0,DSF: 0000049945,True
15,K010,"MAGNET SCHOOL OF MATH, SCIENCE",DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,In-Progress,11/17/2017,02/01/2018,,200000,198496.0,198496.0,DSF: 0000844294,True
15,K015,P.S. 15 - BROOKLYN,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,08/29/2016,DOES,,DOES,110820.0,110820.0,DSF: 0000801409,False
8,X450,BRONX COMMUNITY HIGH SCHOOL,SCA CIP,IP SURVEILLANCE CAMERAS,Construction,In-Progress,07/24/2017,06/08/2018,,374980,329645.0,14419.0,DSF: 0000843860,False
8,X450,BRONX COMMUNITY HIGH SCHOOL,SCA CIP,IP SURVEILLANCE CAMERAS,"CM, F&E",In-Progress,07/24/2017,06/08/2018,,291544,237187.0,35592.0,DSF: 0000843860,False
8,X450,MILLENIUM ART ACADEMY - BRONX,SCA CIP,TCU REMOVAL/PLAYGROUND REDEVELOPMENT,Design,In-Progress,09/13/2017,03/13/2018,,95951,95951.0,52069.0,DSF: 0000866285,True
8,X450,BRONX COMPASS HIGH SCHOOL - BR,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,06/24/2013,12/31/2013,,DIIT,3308.0,0.0,DSF: 0000777207,True
8,X650,SCHOOL FOR TOURISM AND HOSPITA,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,06/24/2013,12/31/2013,,DIIT,24249.0,0.0,DSF: 0000777206,True
8,X972,BRONX ARENA HIGH SCHOOL - BRON,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,06/24/2013,12/31/2013,,DIIT,10664.0,0.0,DSF: 0000777215,False
9,X002,BRONX CNTR FOR SCIENCE & MATH,SCA CIP,PLANYC BOILER CONVERSION/PLANYC CLIMATE CTRL,Construction,In-Progress,10/25/2017,04/17/2019,,6465375,5941197.0,18564.0,"DSF: 0000798315, 0000798318",False
9,X002,BRONX CNTR FOR SCIENCE & MATH,SCA CIP,PLANYC BOILER CONVERSION/PLANYC CLIMATE CTRL,"CM, F&E",In-Progress,10/25/2017,04/17/2019,,402291,32076.0,32076.0,"DSF: 0000798315, 0000798318",False
9,X002,BRONX CNTR FOR SCIENCE & MATH,SCA CIP RESOA,FY17 RESO A AUDITORIUM  UPGRADE,Design,In-Progress,12/01/2017,05/04/2018,,30000,17456.0,6465.0,DSF: 0000844234,True
9,X004,P.S. 4 - BRONX,DOE - Skilled Trades,COMMUNITY SCHOOL BASED MENTAL HEALTH CLINIC,Construction,In-Progress,12/14/2016,DOES,,DOES,87183.0,87183.0,DSF: 0000843981,False
9,X011,P.S. 11 - BRONX,SCA CIP,DEFECTIVE RETAINING WALL & PAVEMENTS,Construction,In-Progress,10/16/2017,12/09/2018,,2812500,2536909.0,10979.0,DSF: 0000838987,False
9,X011,P.S. 11 - BRONX,SCA CIP,DEFECTIVE RETAINING WALL & PAVEMENTS,"CM, F&E",In-Progress,10/16/2017,12/09/2018,,175000,15296.0,15296.0,DSF: 0000838987,False
9,X011,P.S. 11 - BRONX,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,09/07/2017,DOES,,DOES,170000.0,1948.0,DSF: 0000866058,False
9,X022,I.S. 22 - BRONX,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Design,In-Progress,09/21/2017,03/21/2018,,25993,25993.0,11184.0,DSF: 0000867070,True
9,X022,I.S. 22 - BRONX,SCA IEH,"IEH PO18-BASEMENT BOILER / FAN ROOM, NEAR AUDITORI",Construction,In-Progress,10/18/2017,IEH,,IEH,1698.0,1198.0,DSF: 0000049010,False
9,X042,P.S. 42 - BRONX,SCA CIP,FLOOD ELIMINATION/PARAPETS/EXT. MASONRY,Scope,In-Progress,12/18/2017,05/04/2018,,77838,77838.0,0.0,"DSF: 0000884002, 0000884005, 0000884006",True
9,X042,P.S. 42 - BRONX,SCA IEH,"IEH PO18-RMS 412,412A,410,412A,FOYER,4TH FL CORRID",Construction,In-Progress,08/10/2017,IEH,,IEH,1070.0,570.0,DSF: 0000048072,False
9,X053,P.S. 53 - BRONX,SCA CIP,EXTERIOR MASONRY,Scope,In-Progress,10/26/2017,03/16/2018,,30000,67819.0,6268.0,DSF: 0000048369,True
9,X055,P.S. 55 - BRONX,SCA CIP,MASONRY/WINDOWS/ROOFS/PARAPETS,Construction,In-Progress,06/12/2017,06/11/2019,,17799179,16186646.0,873721.0,"DSF: 0000839643, 0000839644, 0000839645, 0000839646",False
9,X055,P.S. 55 - BRONX,SCA CIP,MASONRY/WINDOWS/ROOFS/PARAPETS,"CM, F&E",In-Progress,06/12/2017,06/11/2019,,1107505,89398.0,89257.0,"DSF: 0000839643, 0000839644, 0000839645, 0000839646",False
9,X055,P.S. 55 - BRONX,SCA IEH,"IEH PO18-RMS 202,401,403,416,322",Construction,In-Progress,11/27/2017,IEH,,IEH,1170.0,670.0,DSF: 0000049488,False
9,X055,P.S. 55 - BRONX,DOE- RESOA,FY16 RESO A PLAYGROUND REDEVELOPMENT,Construction,In-Progress,11/04/2015,DOER,,1000000,962064.0,962064.0,DSF: 0000822713,False
9,X063,P.S. 63 - BRONX,SCA IEH,"IEH PO18-RMS 502,402,102",Construction,In-Progress,08/31/2017,IEH,,IEH,105132.0,7886.0,DSF: 0000048485,False
9,X070,P.S. 70 - BRONX,SCA CIP,EXT MASONRY/ROOFS/PARAPETS,Construction,In-Progress,07/11/2016,07/10/2018,,7276373,8532983.0,5288201.0,"DSF: 0000794783, 0000817970, 0000821923",False
9,X070,P.S. 70 - BRONX,SCA CIP,EXT MASONRY/ROOFS/PARAPETS,"CM, F&E",In-Progress,07/11/2016,07/10/2018,,655992,348978.0,261981.0,"DSF: 0000794783, 0000817970, 0000821923",False
1,M015,P.S. 15 - MANHATTAN,SCA CIP RESOA,FY17 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Design,In-Progress,12/28/2017,06/25/2018,,20100,18795.0,5218.0,DSF: 0000844885,False
1,M015,P.S. 15 - MANHATTAN,DOE - Skilled Trades,ACE STEAM SYSTEM OPTIMIZATION,Construction,In-Progress,10/06/2016,DOES,,DOES,41588.0,41588.0,DSF: 0000808159,False
1,M019,P.S. 19 - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,01/07/2016,DOES,,DOES,385556.0,385556.0,DSF: 0000808201,False
1,M019,P.S. 19 - MANHATTAN,Trust For Public Lan,FY18 RESO A PLAYGROUNDS,Construction,In-Progress,12/15/2017,10/15/2018,,825000,825000.0,0.0,DSF: 0000867348,False
1,M022,"NEW EXPLORATIONS INTO SCIENCE,",DIIT - RESOA,FY14 RESO A TECHNOLOGY,Purch & Install,In-Progress,12/26/2017,01/25/2018,,200000,198486.0,198486.0,DSF: 0000777407,True
1,M025,LOWER EAST SIDE PREP HS - M,DOE - Skilled Trades,ACE HOT WATER HEATER,Construction,In-Progress,09/15/2016,DOES,,DOES,116301.0,797.0,DSF: 0000822662,False
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,ROOFS,Design,In-Progress,09/27/2017,03/05/2018,,243349,243349.0,54621.0,DSF: 0000852643,True
1,M060,EASTSIDE COMMUNITY HS - M,Fast Track Projects,FIFTH FLOOR CEILING REPLACEMENT,Construction,In-Progress,08/26/2013,FTK,,FTK,294696.0,294696.0,DSF: 0000777438,False
1,M060,EASTSIDE COMMUNITY HS - M,Fast Track Projects,EMERGENCY WALL DEMO,Construction,In-Progress,12/04/2012,FTK,,FTK,5605673.0,5600818.0,DSF: 0000023053,False
1,M061,P.S. 315 - MANHATTAN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,06/24/2013,12/31/2013,,DIIT,381215.0,381215.0,DSF: 0000777091,False
1,M061,P.S. 361 - MANHATTAN,Trust For Public Lan,FY17 RESO A PLAYGROUND REDEVELOPMENT,Construction,In-Progress,10/06/2017,06/01/2018,,267600,267600.0,0.0,DSF: 0000844213,False
1,M063,P.S. 63 - MANHATTAN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,06/24/2013,12/31/2013,,DIIT,147186.0,0.0,DSF: 0000777093,True
1,M064,P.S. 64 - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,09/06/2017,DOES,,DOES,170000.0,2325.0,DSF: 0000865997,False
1,M097,BARD COLLEGE HS - MANHATTAN,SCA CIP,NON-SANDY:MASONRY/ROOF/PARAPET/SANDY FLOOD/MSNRY,Construction,In-Progress,09/10/2015,12/02/2016,,7840605,8665819.0,7894088.0,"DSF: 0000798565, 0000808949, 0000808951, 0000808952, 0000821636",False
1,M097,BARD COLLEGE HS - MANHATTAN,SCA CIP,NON-SANDY:MASONRY/ROOF/PARAPET/SANDY FLOOD/MSNRY,"CM, F&E",In-Progress,09/10/2015,12/02/2016,,801312,1107603.0,1099619.0,"DSF: 0000798565, 0000808949, 0000808951, 0000808952, 0000821636",False
1,M110,P.S. 110 - MANHATTAN,SCA IEH,IEH PO18-ROOMS 501 AND 504,Construction,In-Progress,11/30/2017,IEH,,IEH,18147.0,2998.0,DSF: 0000049605,False
1,M134,P.S. 134 - MANHATTAN,DOE - Skilled Trades,MAIN & SIDE ENTRANCE DOORS,Construction,In-Progress,06/30/2016,DOES,,DOES,124668.0,124668.0,DSF: 0000831482,False
1,M137,P.S. 184 - MANHATTAN,SCA CIP,PAVED AREA-BLACKTOP,Scope,In-Progress,12/18/2017,03/21/2018,,18079,18079.0,505.0,DSF: 0000876108,True
1,M140,P.S. 140 NATHAN STRAUS,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,In-Progress,11/17/2017,01/31/2018,,100000,99807.0,99807.0,DSF: 0000844404,True
1,M142,P.S. 142 - MANHATTAN,SCA CIP,PLAY YARD SINKHOLE,Construction,In-Progress,04/19/2017,04/18/2018,,3024000,2833234.0,2345949.0,DSF: 0000809493,False
1,M142,P.S. 142 - MANHATTAN,SCA CIP,PLAY YARD SINKHOLE,"CM, F&E",In-Progress,04/19/2017,04/18/2018,,188160,244258.0,240819.0,DSF: 0000809493,False
1,M142,P.S. 142 - MANHATTAN,SCA IEH,IEH PO18-2ND FL CORRIDOR,Construction,In-Progress,11/16/2017,IEH,,IEH,109290.0,2204.0,DSF: 0000049368,False
1,M142,P.S. 142 - MANHATTAN,SCA IEH,IEH PO18-ROOM 112,Construction,In-Progress,11/24/2017,IEH,,IEH,18222.0,354.0,DSF: 0000049489,False
1,M188,P.S. 188 - MANHATTAN,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,In-Progress,03/01/2017,DOEL,,DOEL,800.0,0.0,DSF:,True
1,M446,UNIVERSITY NEIGHBORHOOD HS - M,DOE- RESOA,FY17 RESO A SCIENCE LAB,Construction,In-Progress,07/21/2017,DOER,,100000,44038.0,44038.0,DSF: 0000844217,False
1,M510,CASCADES CTR FOR TCHING & LNG,SCA CIP,ENY AUDITIORIUM UPGRADE,Construction,In-Progress,06/27/2017,01/22/2018,,169795,153872.0,2625.0,DSF: 0000865813,False
1,M510,CASCADES CTR FOR TCHING & LNG,SCA CIP,ENY AUDITIORIUM UPGRADE,"CM, F&E",In-Progress,06/27/2017,01/22/2018,,39352,16401.0,7285.0,DSF: 0000865813,False
1,M510,SATELLITE AT FORSYTHE,SCA CIP,PARAPETS,Scope,In-Progress,09/06/2017,03/06/2018,,225000,225000.0,41749.0,DSF: 0000047398,True
1,M510,CASCADES CTR FOR TCHING & LNG,DOE- RESOA,FY16 RESO A LIBRARY UPGRADE,Construction,In-Progress,02/17/2017,DOER,,120000,120000.0,76528.0,DSF: 0000822728,False
1,M510,CASCADES CTR FOR TCHING & LNG,DOE - Skilled Trades,ACE STEAM SYSTEM OPTIMIZATION,Construction,In-Progress,10/24/2016,DOES,,DOES,149621.0,149621.0,DSF: 0000822657,False
2,M002,P.S. 2 - MANHATTAN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,In-Progress,05/12/2017,01/15/2018,,117000,33196.0,33196.0,DSF: 0000845031,False
2,M003,P.S. 3 - MANHATTAN,SCA CIP RESOA,FY17 RESO A SUPPLEMENTAL COOLING,Design,In-Progress,08/22/2017,12/22/2017,,18000,16538.0,5849.0,DSF: 0000844809,False
2,M006,P.S. 6 - MANHATTAN,SCA CIP RESOA,FY14 RESO A PLAYGROUND REDEVELOPMENT,Construction,In-Progress,05/10/2017,01/04/2018,,887743,1160943.0,511609.0,DSF: 0000798670,False
2,M006,P.S. 6 - MANHATTAN,SCA CIP RESOA,FY14 RESO A PLAYGROUND REDEVELOPMENT,"CM, F&E",In-Progress,05/10/2017,01/04/2018,,60528,95352.0,38170.0,DSF: 0000798670,False
2,M006,P.S. 6 - MANHATTAN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,06/24/2013,12/31/2013,,DIIT,253896.0,0.0,DSF: 0000777058,True
2,M011,P.S. 11 - MANHATTAN,SCA CIP,EXTERIOR MASONRY,Scope,In-Progress,10/02/2017,02/21/2018,,90000,90000.0,6022.0,DSF: 0000853806,False
2,M011,P.S. 11 - MANHATTAN,DOE- RESOA,FY17 RESO A AUDITORIUM  UPGRADE,Construction,In-Progress,07/25/2017,DOER,,75000,76120.0,76120.0,DSF: 0000844808,False
9,X073,P.S. 73 - BRONX,SCA IEH,IEH PO18-5TH FL STAIRCASE E RAN RM CANVAS DUCT WOR,Construction,In-Progress,12/19/2017,IEH,,IEH,1310.0,810.0,DSF: 0000049789,False
9,X082,I.S. 232 - BRONX,SCA CIP,OIL VAULT & STAIRWAY/PIPING/TOILETS/FLOOD,Construction,In-Progress,10/11/2016,12/29/2018,,9950372,8944229.0,3088474.0,"DSF: 0000030993, 0000818199, 0000821948, 0000821949",False
9,X082,I.S. 232 - BRONX,SCA CIP,OIL VAULT & STAIRWAY/PIPING/TOILETS/FLOOD,"CM, F&E",In-Progress,10/11/2016,12/29/2018,,762315,212111.0,210459.0,"DSF: 0000030993, 0000818199, 0000821948, 0000821949",False
9,X090,THE FAMILY SCHOOL - BRONX,SCA CIP,EXTERIOR MASONRY/ROOFS,Construction,In-Progress,04/17/2017,10/08/2018,,4962251,4600983.0,712039.0,"DSF: 0000818363, 0000818364",False
9,X090,THE FAMILY SCHOOL - BRONX,SCA CIP,EXTERIOR MASONRY/ROOFS,"CM, F&E",In-Progress,04/17/2017,10/08/2018,,419253,155548.0,155548.0,"DSF: 0000818363, 0000818364",False
9,X104,P.S. 199 - BRONX,SCA CIP,5TH SBHC,Construction,In-Progress,07/20/2017,01/10/2019,,2528213,2292651.0,556331.0,DSF: 0000865726,False
9,X104,P.S. 199 - BRONX,SCA CIP,5TH SBHC,"CM, F&E",In-Progress,07/20/2017,01/10/2019,,171601,55062.0,40772.0,DSF: 0000865726,False
